#,Item[0],Item[1],Item[2],ItemCount[0],ItemCount[1],ItemCount[2]
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,299,0,0,999,0,0
6,299,0,0,5,0,0
7,299,0,0,999,0,0
8,299,0,0,999,0,0
9,300,0,0,999,0,0
10,300,0,0,999,0,0
11,301,0,0,5,0,0
12,301,0,0,999,0,0
13,301,0,0,999,0,0
14,301,0,0,20,0,0
15,302,0,0,999,0,0
16,301,0,0,999,0,0
17,301,302,0,999,999,0
18,304,0,0,999,0,0
19,304,0,0,999,0,0
20,306,307,0,6,6,0
21,305,0,0,999,0,0
22,309,0,0,999,0,0
23,304,305,0,999,999,0
24,307,0,0,999,0,0
25,308,0,0,999,0,0
26,311,0,0,999,0,0
27,310,0,0,10,0,0
28,310,0,0,999,0,0
29,315,0,0,999,0,0
30,312,0,0,999,0,0
31,311,0,0,15,0,0
32,310,0,0,999,0,0
33,316,0,0,10,0,0
34,314,0,0,999,0,0
35,316,0,0,999,0,0
36,310,0,0,999,0,0
37,314,316,0,10,10,0
38,311,0,0,999,0,0
39,311,0,0,999,0,0
40,311,312,0,999,999,0
41,313,0,0,999,0,0
42,312,0,0,999,0,0
43,315,0,0,10,0,0
44,316,0,0,10,0,0
45,317,315,0,12,12,0
46,316,0,0,999,0,0
47,315,0,0,999,0,0
48,316,0,0,999,0,0
49,314,0,0,999,0,0
50,455,0,0,5,0,0
51,455,0,0,5,0,0
52,455,0,0,5,0,0
53,455,0,0,5,0,0
54,455,0,0,5,0,0
55,455,0,0,5,0,0
56,455,0,0,5,0,0
57,455,0,0,5,0,0
58,455,0,0,4,0,0
59,455,0,0,5,0,0
60,455,0,0,3,0,0
61,455,0,0,7,0,0
62,455,0,0,5,0,0
63,455,0,0,4,0,0
64,455,0,0,4,0,0
65,455,0,0,3,0,0
66,455,0,0,4,0,0
67,455,0,0,4,0,0
68,455,0,0,4,0,0
69,455,0,0,4,0,0
70,455,0,0,4,0,0
71,455,0,0,3,0,0
72,455,0,0,3,0,0
73,455,0,0,2,0,0
74,455,0,0,2,0,0
75,455,0,0,4,0,0
76,455,0,0,3,0,0
77,455,0,0,2,0,0
78,455,0,0,2,0,0
79,455,0,0,3,0,0
80,455,0,0,2,0,0
81,455,0,0,2,0,0
82,455,0,0,3,0,0
83,455,0,0,3,0,0
84,455,0,0,2,0,0
85,455,0,0,2,0,0
86,455,0,0,2,0,0
87,455,0,0,2,0,0
88,455,0,0,2,0,0
89,455,0,0,3,0,0
90,455,0,0,3,0,0
91,455,0,0,3,0,0
92,455,0,0,2,0,0
93,455,0,0,2,0,0
94,455,0,0,1,0,0
95,455,0,0,5,0,0
96,455,0,0,5,0,0
97,455,0,0,5,0,0
98,455,0,0,5,0,0
99,455,0,0,5,0,0
100,455,0,0,5,0,0
101,455,0,0,5,0,0
102,455,0,0,5,0,0
103,455,0,0,4,0,0
104,455,0,0,5,0,0
105,455,0,0,3,0,0
106,455,0,0,7,0,0
107,455,0,0,5,0,0
108,455,0,0,4,0,0
109,455,0,0,4,0,0
110,455,0,0,3,0,0
111,455,0,0,4,0,0
112,455,0,0,4,0,0
113,455,0,0,4,0,0
114,455,0,0,4,0,0
115,455,0,0,4,0,0
116,455,0,0,3,0,0
117,455,0,0,3,0,0
118,455,0,0,2,0,0
119,455,0,0,2,0,0
120,455,0,0,4,0,0
121,455,0,0,3,0,0
122,455,0,0,2,0,0
123,455,0,0,2,0,0
124,455,0,0,3,0,0
125,455,0,0,2,0,0
126,455,0,0,2,0,0
127,455,0,0,3,0,0
128,455,0,0,3,0,0
129,455,0,0,2,0,0
130,455,0,0,2,0,0
131,455,0,0,2,0,0
132,455,0,0,2,0,0
133,455,0,0,2,0,0
134,455,0,0,3,0,0
135,455,0,0,3,0,0
136,455,0,0,3,0,0
137,455,0,0,2,0,0
138,455,0,0,2,0,0
139,455,0,0,1,0,0
140,455,0,0,5,0,0
141,455,0,0,5,0,0
142,455,0,0,5,0,0
143,455,0,0,5,0,0
144,455,0,0,5,0,0
145,455,0,0,5,0,0
146,455,0,0,5,0,0
147,455,0,0,5,0,0
148,455,0,0,4,0,0
149,455,0,0,5,0,0
150,455,0,0,3,0,0
151,455,0,0,7,0,0
152,455,0,0,5,0,0
153,455,0,0,4,0,0
154,455,0,0,4,0,0
155,455,0,0,3,0,0
156,455,0,0,4,0,0
157,455,0,0,4,0,0
158,455,0,0,4,0,0
159,455,0,0,4,0,0
160,455,0,0,4,0,0
161,455,0,0,3,0,0
162,455,0,0,3,0,0
163,455,0,0,2,0,0
164,455,0,0,2,0,0
165,455,0,0,4,0,0
166,455,0,0,3,0,0
167,455,0,0,2,0,0
168,455,0,0,2,0,0
169,455,0,0,3,0,0
170,455,0,0,2,0,0
171,455,0,0,2,0,0
172,455,0,0,3,0,0
173,455,0,0,3,0,0
174,455,0,0,2,0,0
175,455,0,0,2,0,0
176,455,0,0,2,0,0
177,455,0,0,2,0,0
178,455,0,0,2,0,0
179,455,0,0,3,0,0
180,455,0,0,3,0,0
181,455,0,0,3,0,0
182,455,0,0,2,0,0
183,455,0,0,2,0,0
184,455,0,0,1,0,0
185,455,0,0,5,0,0
186,455,0,0,5,0,0
187,455,0,0,5,0,0
188,455,0,0,5,0,0
189,455,0,0,5,0,0
190,455,0,0,5,0,0
191,455,0,0,5,0,0
192,455,0,0,5,0,0
193,455,0,0,4,0,0
194,455,0,0,5,0,0
195,455,0,0,3,0,0
196,455,0,0,7,0,0
197,455,0,0,5,0,0
198,455,0,0,4,0,0
199,455,0,0,4,0,0
200,455,0,0,3,0,0
201,455,0,0,4,0,0
202,455,0,0,4,0,0
203,455,0,0,4,0,0
204,455,0,0,4,0,0
