#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
11,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
