#,Singular,Plural,Name,Tooltip,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Icon,Action
0,,,,,0,0,0,1,0,0,0,0
1,,,魔陶器：咒印解除,清除本層所有陷阱,0,0,0,1,0,0,27901,6259
2,,,魔陶器：全景,點亮本層所有地圖，可看到本層所有陷阱,0,0,0,1,0,0,27902,6260
3,,,魔陶器：強化自身,自身攻擊造成的傷害及治療魔法的治療量提高30%,0,0,0,1,0,0,27903,6262
4,,,魔陶器：強化防禦,自身受到的傷害減輕40%,0,0,0,1,0,0,27904,6263
5,,,魔陶器：寶箱增加,增加下一層的寶箱,0,0,0,1,0,0,27905,6264
6,,,魔陶器：減少敵人,減少下一層的敵人,0,0,0,1,0,0,27906,6265
7,,,魔陶器：改變敵人,將下一層隨機一個房間的敵人變化為模仿怪或曼德拉草,0,0,0,1,0,0,27907,6266
8,,,魔陶器：解咒,解除詛咒狀態,0,0,0,1,0,0,27908,6267
9,,,魔陶器：運氣上升,在本層擊敗敵人時寶箱出現率上升,0,0,0,1,0,0,27909,6268
10,,,魔陶器：形態變化,令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞,0,0,0,1,0,0,27910,6269
11,,,魔陶器：魔法效果解除,消除本層所有魔法效果,0,0,0,1,0,0,27911,6270
12,,,魔陶器：蠍尾獅化,自身變為蠍尾獅形態,0,0,0,1,0,0,27912,6271
13,,,魔陶器：魅魔化,自身變為魅魔形態,0,0,0,1,0,0,27913,6272
14,,,魔陶器：感知寶藏,顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止,0,0,0,1,0,0,27916,6870
15,,,魔陶器：復生,復活第一個陷入無法戰鬥狀態的小隊隊員,0,0,0,1,0,0,27914,6868
16,,,魔陶器：基路伯化,自身變為基路伯形態,0,0,0,1,0,0,27915,6869
17,,,魔陶器：弱化敵人,將本層的敵人變為攻防低下的狀態,0,0,0,1,0,0,27919,11275
18,,,魔陶器：隱形,將自身與小隊成員變為隱形狀態,0,0,0,1,0,0,27917,11276
19,,,魔陶器：石化敵人,將本層的敵人變為石化狀態,0,0,0,1,0,0,27918,11277
20,,,魔科學器：緩速,將本層的敵人變為緩速狀態,0,0,0,1,0,0,27920,32144
21,,,魔科學器：大漩渦,將本層的敵人的HP降至個位數,0,0,0,1,0,0,27921,32145
22,,,魔科學器：恐慌裝甲化,自身變為恐慌裝甲形態,0,0,0,1,0,0,27922,32146
23,,,魔科學器：咒印解除,清除本層所有陷阱,0,0,0,1,0,0,27901,6259
24,,,魔科學器：全景,點亮本層所有地圖，可看到本層所有陷阱,0,0,0,1,0,0,27902,6260
25,,,魔科學器：強化自身,自身攻擊造成的傷害及治療魔法的治療量提高30%,0,0,0,1,0,0,27903,6262
26,,,魔科學器：強化防禦,自身受到的傷害減輕40%,0,0,0,1,0,0,27904,6263
27,,,魔科學器：寶箱增加,增加下一層的寶箱,0,0,0,1,0,0,27905,6264
28,,,魔科學器：減少敵人,減少下一層的敵人,0,0,0,1,0,0,27906,6265
29,,,魔科學器：改變敵人,將下一層隨機一個房間的敵人變化為模仿怪或曼德拉草,0,0,0,1,0,0,27907,6266
30,,,魔科學器：解咒,解除詛咒狀態,0,0,0,1,0,0,27908,6267
31,,,魔科學器：運氣上升,在本層擊敗敵人時寶箱出現率上升,0,0,0,1,0,0,27909,6268
32,,,魔科學器：形態變化,令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞,0,0,0,1,0,0,27910,6269
33,,,魔科學器：魔法效果解除,消除本層所有魔法效果,0,0,0,1,0,0,27911,6270
34,,,魔科學器：感知寶藏,顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止,0,0,0,1,0,0,27916,6870
35,,,魔科學器：復生,復活第一個陷入無法戰鬥狀態的小隊隊員,0,0,0,1,0,0,27914,6868
36,,,,,0,0,0,0,0,0,0,0
37,,,,,0,0,0,0,0,0,0,0
38,,,,,0,0,0,0,0,0,0,0
