#,RewardItem1,RewardItem2,RewardItem3,RewardQuantity1,RewardQuantity2,RewardQuantity3,RewardType1,Unknown0,RewardType2,RewardType3,RewardHq2,RewardHq3,RewardHq1
0,0,0,0,0,0,0,0,0,0,0,False,False,False
1,5827,5827,5827,1,1,1,1,0,1,1,False,False,False
2,5827,1,43557,1,500,1,1,0,2,1,False,False,False
3,5827,1,43557,1,500,1,1,0,2,1,False,False,False
4,5827,1,43557,1,500,1,1,0,2,1,False,False,False
5,5827,1,43557,1,500,1,1,0,2,1,False,False,False
6,5827,1,43557,1,500,1,1,0,2,1,False,False,False
7,5827,1,43557,1,500,1,1,0,2,1,False,False,False
8,5827,1,43557,1,500,1,1,0,2,1,False,False,False
9,5827,1,43557,1,500,1,1,0,2,1,False,False,False
10,5827,1,43557,1,500,1,1,0,2,1,False,False,False
11,5827,1,43557,1,500,1,1,0,2,1,False,False,False
12,5827,1,43557,1,500,1,1,0,2,1,False,False,False
13,5827,1,43557,1,500,1,1,0,2,1,False,False,False
14,5827,1,43557,1,500,1,1,0,2,1,False,False,False
15,5827,1,43557,1,500,1,1,0,2,1,False,False,False
16,5827,1,43557,1,500,1,1,0,2,1,False,False,False
17,5827,1,43557,1,500,1,1,0,2,1,False,False,False
18,5827,1,43557,1,500,1,1,0,2,1,False,False,False
19,5827,1,43557,1,500,1,1,0,2,1,False,False,False
20,5827,1,43557,1,500,1,1,0,2,1,False,False,False
21,5827,1,43557,1,500,1,1,0,2,1,False,False,False
22,5827,1,43557,1,500,1,1,0,2,1,False,False,False
23,5827,1,43557,1,500,1,1,0,2,1,False,False,False
24,5827,1,43557,1,500,1,1,0,2,1,False,False,False
25,5827,1,43557,1,500,1,1,0,2,1,False,False,False
26,5827,1,43557,1,500,1,1,0,2,1,False,False,False
27,5827,1,43557,1,500,1,1,0,2,1,False,False,False
28,5827,1,43557,1,500,1,1,0,2,1,False,False,False
29,5827,1,43557,1,500,1,1,0,2,1,False,False,False
30,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
31,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
32,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
33,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
34,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
35,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
36,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
37,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
38,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
39,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
40,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
41,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
42,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
43,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
44,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
45,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
46,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
47,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
48,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
49,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
50,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
51,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
52,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
53,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
54,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
55,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
56,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
57,16784,22443,22444,20,1,3,1,0,1,1,False,False,False
58,16784,22444,2,2,1,200,1,0,1,2,False,False,False
59,16784,22444,2,2,1,200,1,0,1,2,False,False,False
60,16784,22444,2,2,1,200,1,0,1,2,False,False,False
61,16784,22444,2,2,1,200,1,0,1,2,False,False,False
62,16784,22444,2,2,1,200,1,0,1,2,False,False,False
63,16784,22444,2,2,1,200,1,0,1,2,False,False,False
64,16784,22444,2,2,1,200,1,0,1,2,False,False,False
65,16784,22444,2,2,1,200,1,0,1,2,False,False,False
66,16784,22444,2,2,1,200,1,0,1,2,False,False,False
67,16784,22444,2,2,1,200,1,0,1,2,False,False,False
68,16784,22444,2,2,1,200,1,0,1,2,False,False,False
69,16784,22444,2,2,1,500,1,0,1,2,False,False,False
70,16784,22444,2,2,1,500,1,0,1,2,False,False,False
71,16784,22444,2,2,1,500,1,0,1,2,False,False,False
72,16784,22444,2,2,1,500,1,0,1,2,False,False,False
73,16784,22444,2,2,1,500,1,0,1,2,False,False,False
74,16784,22444,2,2,1,500,1,0,1,2,False,False,False
75,16784,22444,2,2,1,500,1,0,1,2,False,False,False
76,16784,22444,2,2,1,500,1,0,1,2,False,False,False
77,16784,22444,2,2,1,500,1,0,1,2,False,False,False
78,16784,22444,2,2,1,500,1,0,1,2,False,False,False
79,16784,22444,2,2,1,500,1,0,1,2,False,False,False
80,16784,22444,2,2,1,500,1,0,1,2,False,False,False
81,16784,22444,2,2,1,500,1,0,1,2,False,False,False
82,16784,22444,2,2,1,500,1,0,1,2,False,False,False
83,16784,22444,2,2,1,500,1,0,1,2,False,False,False
84,16784,22444,2,2,1,500,1,0,1,2,False,False,False
85,16784,22444,2,2,1,500,1,0,1,2,False,False,False
86,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
87,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
88,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
89,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
90,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
91,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
92,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
93,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
94,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
95,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
96,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
97,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
98,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
99,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
100,14971,26823,43942,1,1,4,1,0,1,1,False,False,False
101,14971,26823,3,1,1,50,1,0,1,2,False,False,False
102,14971,26823,3,1,1,50,1,0,1,2,False,False,False
103,14971,26823,3,1,1,50,1,0,1,2,False,False,False
104,14971,26823,3,1,1,50,1,0,1,2,False,False,False
105,14971,26823,3,1,1,50,1,0,1,2,False,False,False
106,14971,26823,3,1,1,50,1,0,1,2,False,False,False
107,14971,26823,3,1,1,50,1,0,1,2,False,False,False
108,14971,26823,3,1,1,50,1,0,1,2,False,False,False
109,14971,26823,3,1,1,50,1,0,1,2,False,False,False
110,14971,26823,3,1,1,50,1,0,1,2,False,False,False
111,14971,26823,3,1,1,50,1,0,1,2,False,False,False
112,14971,26823,3,1,1,50,1,0,1,2,False,False,False
113,14971,26823,3,1,1,50,1,0,1,2,False,False,False
114,0,0,0,0,0,0,0,0,0,0,False,False,False
115,0,0,0,0,0,0,0,0,0,0,False,False,False
116,0,0,0,0,0,0,0,0,0,0,False,False,False
117,0,0,0,0,0,0,0,0,0,0,False,False,False
118,0,0,0,0,0,0,0,0,0,0,False,False,False
119,0,0,0,0,0,0,0,0,0,0,False,False,False
120,0,0,0,0,0,0,0,0,0,0,False,False,False
121,0,0,0,0,0,0,0,0,0,0,False,False,False
