#,Unknown0,Unknown1,Unknown2,Unknown3
0.0,0,0,0,0
1.0,70701,0,3655,1
1.1,70702,4,3656,2
1.2,70703,8,3657,3
1.3,70704,14,3658,4
1.4,70705,18,3659,5
1.5,70706,21,3660,6
1.6,70707,24,3661,7
1.7,70708,30,3662,8
1.8,70709,33,3663,9
1.9,70710,37,3664,10
1.10,70711,43,3665,11
1.11,70712,49,3666,12
1.12,70713,55,3667,13
1.13,70714,58,3668,14
1.14,70715,62,3669,15
1.15,70716,62,3670,16
2.0,0,0,0,0
2.1,0,0,0,0
2.2,0,0,0,0
2.3,0,0,0,0
2.4,0,0,0,0
2.5,0,0,0,0
2.6,0,0,0,0
2.7,0,0,0,0
2.8,0,0,0,0
2.9,0,0,0,0
2.10,0,0,0,0
2.11,0,0,0,0
2.12,0,0,0,0
2.13,0,0,0,0
2.14,0,0,0,0
2.15,0,0,0,0
2.16,0,0,0,0
