#,Name,QuestUnlock,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,Unknown0,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft,Unknown1
0,1-5,0,0,0,0,0,True,True,True,True,True,True,True,True,False
1,6-10,0,0,3,5,0,True,True,True,True,True,True,True,True,False
2,11-15,0,0,8,10,0,True,True,True,True,True,True,True,True,False
3,16-20,0,0,13,15,0,True,True,True,True,True,True,True,True,False
4,21-25,0,0,18,20,0,True,True,True,True,True,True,True,True,False
5,26-30,0,0,23,25,0,True,True,True,True,True,True,True,True,False
6,31-35,0,0,28,30,0,True,True,True,True,True,True,True,True,False
7,36-40,0,0,33,35,0,True,True,True,True,True,True,True,True,False
8,41-45,0,0,38,40,0,True,True,True,True,True,True,True,True,False
9,46-50,0,0,43,45,0,True,True,True,True,True,True,True,True,False
10,51-55,0,0,48,50,0,True,True,True,True,True,True,True,True,False
11,56-60,0,0,53,55,0,True,True,True,True,True,True,True,True,False
12,61-65,0,0,58,60,0,True,True,True,True,True,True,True,True,False
13,66-70,0,0,63,65,0,True,True,True,True,True,True,True,True,False
14,71-75,0,0,68,70,0,True,True,True,True,True,True,True,True,False
15,76-80,0,0,73,75,0,True,True,True,True,True,True,True,True,False
16,81-85,0,0,78,80,0,True,True,True,True,True,True,True,True,False
17,86-90,0,0,83,85,0,True,True,True,True,True,True,True,True,False
18,91-95,0,0,88,90,0,True,True,True,True,True,True,True,True,False
19,96-100,0,0,93,95,0,True,True,True,True,True,True,True,True,False
20,101-105,0,0,255,255,0,True,True,True,True,True,True,True,True,False
21,106-110,0,0,255,255,0,True,True,True,True,True,True,True,True,False
22,111-115,0,0,255,255,0,True,True,True,True,True,True,True,True,False
23,116-120,0,0,255,255,0,True,True,True,True,True,True,True,True,False
24,121-125,0,0,255,255,0,True,True,True,True,True,True,True,True,False
25,126-130,0,0,255,255,0,True,True,True,True,True,True,True,True,False
26,131-135,0,0,255,255,0,True,True,True,True,True,True,True,True,False
27,136-140,0,0,255,255,0,True,True,True,True,True,True,True,True,False
28,141-145,0,0,255,255,0,True,True,True,True,True,True,True,True,False
