#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
1,力量,影響單手劍、大斧、雙手劍、槍刃、格鬥武器、長槍、武士刀、雙手鐮刀、咒具、魔法書、刺劍、幻具、天球儀、賢具、青魔杖的物理攻擊力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,12,90,100,100,100,70,70,70,100,70,100,100,70,70,0,False
2,靈巧,影響雙劍、弓、火槍、投擲武器的物理攻擊力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,13,90,70,70,70,100,70,70,100,70,100,70,100,100,1,False
3,耐力,影響最大HP。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,14,90,100,100,100,100,90,90,100,90,100,100,100,100,2,False
4,智力,影響進攻職業的攻擊魔法威力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,15,90,70,70,70,70,100,70,70,100,100,70,70,70,3,False
5,精神,影響治療魔法威力和治療職業的攻擊魔法威力。,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,16,90,70,70,70,70,70,100,70,100,100,70,70,70,4,False
6,信仰,"影響MP的自然恢復量。
信仰越高自然恢復量越高。
僅在治療職業處於戰鬥狀態時生效。",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,25,90,70,70,70,70,70,100,70,70,100,70,70,70,5,False
7,HP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,100,100,100,100,100,100,100,100,100,100,100,100,6,False
8,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,100,100,100,100,100,100,100,100,100,100,100,100,7,False
9,技力,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,8,False
10,GP,,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,35,100,100,100,100,100,100,100,100,100,100,100,100,100,9,False
11,CP,,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,32,100,100,100,100,100,100,100,100,100,100,100,100,100,10,False
12,物理基本性能,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,1,100,100,100,100,100,100,100,100,100,50,100,100,100,-1,False
13,魔法基本性能,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,2,50,50,50,50,50,100,100,50,100,30,50,50,50,-1,False
14,攻擊間隔,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,100,100,100,100,100,100,100,100,100,100,100,100,11,False
15,附加效果,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
16,攻擊次數,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
17,格擋發動力,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
18,格擋性能,,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,100,100,100,100,50,50,100,50,100,100,100,100,-1,False
