#,Name,Action[0],Action[1],Action[2],Action[3],Action[4],Action[5],Action[6],Unknown3,Unknown4
0,,0,0,0,0,0,0,0,0,True
1,戰女神之怒連擊,17355,0,0,0,0,0,0,0,False
2,王權劍連擊,17355,0,0,0,0,0,0,0,False
3,寒風斧連擊,17355,0,0,0,0,0,0,0,False
4,暴風斬連擊,17355,0,0,0,0,0,0,0,False
5,強力斬連擊,17355,0,0,0,0,0,0,0,False
6,噬魂斬連擊,17355,0,0,0,0,0,0,0,False
7,崩拳連擊,17355,0,0,0,0,0,0,0,False
8,破碎拳連擊,17355,0,0,0,0,0,0,1,False
9,龍尾大迴旋連擊,17355,0,0,0,0,0,0,0,False
10,龍尾大迴旋連擊,17355,0,0,0,0,0,0,1,False
11,旋風刃連擊,17355,0,0,0,0,0,0,0,False
12,影牙連擊,17355,0,0,0,0,0,0,1,False
13,雪風連擊,17355,0,0,0,0,0,0,0,False
14,月光連擊,17355,0,0,0,0,0,0,1,False
15,花車連擊,17355,0,0,0,0,0,0,2,False
16,直線射擊連擊,17355,0,0,0,0,0,0,0,False
17,狂風蝕箭連擊,17355,0,0,0,0,0,0,0,False
18,熱狙擊彈連擊,17355,0,0,0,0,0,0,0,False
19,魔連攻連擊,17355,0,0,0,0,0,0,0,False
20,迅連斬連擊,17355,0,0,0,0,0,0,0,False
21,凶禽爪連擊,17355,0,0,0,0,0,0,2,False
22,噴泉連擊,17355,0,0,0,0,0,0,0,False
23,遊蕩劍連擊,16788,16269,16984,0,0,0,0,0,False
24,大日食連擊,16789,16985,0,0,0,0,0,1,False
25,迅連斬連擊,16434,16418,16435,0,0,0,0,0,False
26,山境酷刑連擊,18772,18773,18774,0,0,0,0,0,False
27,日珥斬連擊,17355,0,0,0,0,0,0,1,False
28,鋼鐵旋風連擊,17355,0,0,0,0,0,0,1,False
29,剛魂連擊,17355,0,0,0,0,0,0,1,False
30,地烈勁連擊,17355,0,0,0,0,0,0,1,False
31,山境酷刑連擊,17355,0,0,0,0,0,0,1,False
32,八卦無刃殺連擊,17355,0,0,0,0,0,0,1,False
33,花車連擊,17355,0,0,0,0,0,0,0,False
34,櫻花連擊,17355,0,0,0,0,0,0,1,False
35,惡魔殺連擊,17355,0,0,0,0,0,0,1,False
36,落刃雨連擊,17355,0,0,0,0,0,0,1,False
37,夜月連擊,14840,19046,19047,0,0,0,0,0,False
38,乙太光劍連擊,20490,20491,20492,0,0,0,0,0,False
39,赤火光連擊,20529,20530,20531,20532,0,0,0,0,False
40,穢濁連擊,21612,22502,22817,21613,0,0,0,0,False
41,王冠之領主連擊,21499,21607,0,0,0,0,0,0,False
42,河流神的卷軸連擊,24066,21610,0,0,0,0,0,1,False
43,焦熱連擊,24917,24918,24919,24920,21496,21923,24831,1,False
44,戰女神之怒連擊,26249,26250,26251,0,0,0,0,0,False
45,赤火光連擊,27048,27049,27050,27051,27052,0,0,0,False
46,焦熱連擊,27054,27055,27056,27057,27058,27059,24898,1,False
47,迅連斬連擊,27427,27428,27429,0,0,0,0,0,False
48,地獄切割連擊,17355,0,0,0,0,0,0,0,False
49,惡夢切割連擊,17355,0,0,0,0,0,0,1,False
50,王權劍連擊,29058,29059,29060,0,0,0,0,0,True
51,暴風斬連擊,29074,29075,29076,0,0,0,0,0,True
52,噬魂斬連擊,29085,29086,29087,0,0,0,0,0,True
53,迅連斬連擊,29098,29099,29100,29101,0,0,0,0,True
54,噴泉連擊,29416,29417,0,0,0,0,0,0,True
55,夢幻鬥舞連擊,29475,29476,29477,41444,41445,41446,29478,0,True
56,龍尾大迴旋連擊,29486,29487,29488,41449,0,0,0,0,True
57,旋風刃連擊,29500,29501,29502,0,0,0,0,0,True
58,花車連擊,29523,29524,29525,0,0,0,0,0,True
59,地獄切割連擊,29538,29539,29540,0,0,0,0,0,True
60,紳士之怒連擊,31393,31394,31395,0,0,0,0,0,True
61,地獄切割連擊,31786,31787,31788,0,0,0,0,0,True
62,惡夢切割連擊,31789,31790,0,0,0,0,0,0,True
63,獰豹的尾鞭連擊,37120,37121,37122,0,0,0,0,0,True
64,圖拉爾的峻烈連擊,37127,37128,37126,0,0,0,0,0,True
65,牙體勢連擊,39157,39159,39161,39158,39160,39163,0,0,True
66,,0,0,0,0,0,0,0,0,False
