#,Unknown0,Unknown1
0,,0
1,釣到水母或螃蟹,7
2,釣到★★★以上的魚,5
3,●★★★★を3匹釣る。,3
4,釣到咬鉤強度低（！）的魚,34
5,釣到咬鉤強度高（！！）的魚,18
6,釣到咬鉤強度非常高（！！！）的魚,6
7,釣到鯊魚,5
8,釣到★★★以上的魚,5
9,●★★★★を3匹釣る。,3
10,釣到咬鉤強度低（！）的魚,34
11,釣到咬鉤強度高（！！）的魚,11
12,釣到咬鉤強度非常高（！！！）的魚,13
13,釣到螃蟹,13
14,釣到★★★以上的魚,5
15,●★★★★を3匹釣る。,3
16,釣到咬鉤強度低（！）的魚,31
17,釣到咬鉤強度高（！！）的魚,27
18,釣到咬鉤強度非常高（！！！）的魚,5
19,釣到魨類,13
20,釣到★★★以上的魚,5
21,●★★★★を3匹釣る。,3
22,釣到咬鉤強度低（！）的魚,39
23,釣到咬鉤強度高（！！）的魚,18
24,釣到咬鉤強度非常高（！！！）的魚,8
25,釣到蝦類或烏賊,19
26,釣到★★★以上的魚,5
27,釣到咬鉤強度低（！）的魚,41
28,釣到咬鉤強度高（！！）的魚,26
29,釣到咬鉤強度非常高（！！！）的魚,7
30,釣到蝦類或貝類,17
31,釣到★★★以上的魚,5
32,釣到咬鉤強度低（！）的魚,49
33,釣到咬鉤強度高（！！）的魚,16
34,釣到咬鉤強度非常高（！！！）的魚,8
