#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
3473408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3473409,特殊商品交易員,1,0,4,235,4,210,2,0,3,0,0,0,0,0,0,0,True
3473410,交換證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473411,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473412,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473413,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473414,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473415,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473416,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473417,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473418,交換獸人貨幣證書,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473420,戰果記錄回收（上鎖的寶箱）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473421,戰果記錄回收（其他）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473422,戰果記錄回收（其他）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473423,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
