#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
10001,劍術士01,75,1,0,0,0,3,0,0,0
10002,劍術士02,180,206,0,0,0,3,0,0,0
10003,劍術士03,360,208,0,0,0,3,0,0,0
10004,劍術士04,410,209,0,0,0,3,0,0,0
10005,劍術士05,530,211,0,0,0,3,0,0,0
10006,劍術士06,980,213,0,0,0,3,0,0,0
10007,劍術士07,1100,210,0,0,0,3,0,0,0
10008,劍術士08,1300,217,0,0,0,3,0,0,0
10009,劍術士09,1600,220,0,0,0,3,0,0,0
10010,劍術士10,1700,223,224,0,0,3,3,0,0
10011,劍術士11,2300,228,229,0,0,3,3,0,0
10012,劍術士12,3200,227,0,0,0,3,0,0,0
10013,劍術士13,4000,230,0,0,0,3,0,0,0
10014,劍術士14,4500,232,0,0,0,3,0,0,0
10015,劍術士15,5000,234,0,0,0,3,0,0,0
10016,劍術士16,5300,235,0,0,0,3,0,0,0
10017,劍術士17,5500,237,0,0,0,3,0,0,0
10018,劍術士18,5700,240,0,0,0,3,0,0,0
10019,劍術士19,5900,238,0,0,0,3,0,0,0
10020,劍術士20,6100,242,244,0,0,3,3,0,0
10021,劍術士21,6300,32,137,0,0,4,3,0,0
10022,劍術士22,6500,245,0,0,0,4,0,0,0
10023,劍術士23,6700,138,0,0,0,4,0,0,0
10024,劍術士24,6900,34,0,0,0,4,0,0,0
10025,劍術士25,7100,150,0,0,0,4,0,0,0
10026,劍術士26,7600,252,0,0,0,4,0,0,0
10027,劍術士27,8600,255,0,0,0,4,0,0,0
10028,劍術士28,9400,158,0,0,0,4,0,0,0
10029,劍術士29,9700,161,0,0,0,4,0,0,0
10030,劍術士30,10000,37,38,0,0,4,3,0,0
10031,劍術士31,11000,165,42,0,0,4,3,0,0
10032,劍術士32,12000,39,166,0,0,4,3,0,0
10033,劍術士33,12500,265,0,0,0,4,0,0,0
10034,劍術士34,13000,171,0,0,0,4,0,0,0
10035,劍術士35,13500,64,0,0,0,4,0,0,0
10036,劍術士36,14000,271,0,0,0,4,0,0,0
10037,劍術士37,14500,294,0,0,0,4,0,0,0
10038,劍術士38,15000,176,0,0,0,4,0,0,0
10039,劍術士39,16000,301,0,0,0,4,0,0,0
10040,劍術士40,16500,306,66,0,0,4,3,0,0
10041,劍術士41,17000,67,72,0,0,5,2,0,0
10042,劍術士42,17500,179,184,0,0,5,2,0,0
