#,Unknown0,GayaSoundId,ChatRule,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,EnableCompanion,EnablePets,EnableRidePillion,DisableLogoutTimer,Unknown14,EnableReturn,Unknown16,Unknown17,EnableRecommendList,Unknown19,Unknown20,Unknown21,DisableFieldMarkers,Unknown23,EnableActions,Unknown25,Unknown26,EnableTripleTriadMatches,EnableTripleTriadMatchesAnywhere,Unknown29,Unknown30,Unknown31,CanPauseTimeWeather,Unknown33,EnablePvPQuickChat,Unknown35,Unknown36,CanApplyGlamourPlatesAnywhere,Unknown38,EnableFieldMarkerPresets,Unknown40,Unknown41
0,1000,1,0,8,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False
1,1000,2,0,8,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False
2,1000,0,0,0,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False
3,1000,0,5,0,True,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
4,1000,0,5,0,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
5,1000,0,4,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6,1000,0,0,0,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False
7,1000,0,0,0,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
8,1000,0,5,0,True,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
9,1000,0,5,0,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
