#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Unknown4,Unknown5,SingleBattle,Unknown8
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,腐爛蔬菜——皮里福爾,魔獸大隊的百夫長克拉莉西扔掉了快要腐爛的草木綱魔物，打倒腐爛蔬菜——皮里福爾！,8373717,8511877,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
2,戰爭妖犬——恐懼妖犬,術士大隊為了攪亂戰列，召喚了三個頭的妖犬，打倒戰爭妖犬——恐懼妖犬！,8374110,8511881,69477,0,0,0,0,0,0,1,2,48,20,0,0,True
3,高火力陸戰魔導兵器——守夜,機械化步兵大隊的強化兵達波格操縱著守衛機蠍的改良機體出現在了戰場，打倒高火力陸戰魔導兵器——守夜！,8367113,8511882,69477,0,0,0,0,0,0,1,1,48,20,0,0,True
4,新型飛行型魔導裝甲——加百列,機械化步兵大隊的強化兵達波格操縱著飛行型魔導裝甲空降到了戰場，回應決鬥邀請，打倒加百列！,8367033,8511886,69477,0,0,0,0,0,0,2,3,1,20,0,1,True
5,黑死鳥——阿克巴巴,魔獸大隊的馴獸師們正在對博茲雅義軍造成損害，打倒死鳥——阿克巴巴以及馴獸師！,8342248,8511887,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
6,怨念死靈——地浮靈,術士大隊的選拔兵羅菲準備帶上試驗動物一角獸逃離大隊，與一角獸一起打倒怨念死靈——地浮靈！,8367316,8511891,69481,0,0,0,0,0,0,1,5,48,20,0,0,True
7,紅陸行鳥之王——紅色彗星,不知從何處來了一群紅陸行鳥闖入了南方博茲雅戰線，打倒紅陸行鳥之王——紅色彗星！,8374867,8511892,69481,0,0,0,0,0,0,1,4,48,20,0,0,True
8,百獸之王——獸王萊昂,率領魔獸大隊長征沙場許久的千夫長萊昂發出了決鬥的邀請，在單挑中打倒獸王萊昂！,8374963,8511893,69481,0,0,0,0,0,0,2,3,1,20,0,2,True
9,炎獸訓練師——火焰百夫隊,使役炎獸——焰球的術師火焰百夫隊進攻了過來，殲滅敵人阻止其行軍！,8375462,8511895,69481,0,0,0,0,0,0,3,2,24,20,0,0,True
10,據點防衛魔導兵器——愛國者,據點防禦步兵大隊為了加固據點的防衛配置了新兵器，打倒據點防衛魔導兵器——愛國者！,8374781,8511898,69481,0,0,0,0,0,0,1,1,48,20,0,0,True
11,邪眼妖獸——耶魯,術士大隊的妖術士向戰場上放出了不祥的妖獸，打倒邪眼妖獸——耶魯！,8377121,8511901,69484,0,0,0,0,0,0,1,2,24,20,0,0,True
12,老練魔道士——鐵膽獄火薩托瓦爾,追尋強敵現身的火焰法師——第四軍團術士大隊的上級百夫長，在決鬥中打倒鐵膽獄火薩托瓦爾！,8374538,8511905,69484,0,0,0,0,0,0,2,3,1,20,0,3,True
13,鋼鐵魔獸——達因斯萊瓦,機械化步兵大隊的魔導技師長西西尼烏斯將新型的魔導兵器投放到了戰場，打倒鋼鐵魔獸——達因斯萊瓦！,8367337,8511910,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
14,新型鐵巨人——魔導勞工X式,機械化步兵大隊的魔導技師長西西尼烏斯將古代兵器改良後投入了實戰，打倒新型鐵巨人——魔導勞工X式！,8377886,8511912,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
15,戰慄之角——奇爾維尼克,魔獸大隊利用秘藥將魔獸的屍體復甦化作了戰鬥力，打倒戰慄之角——奇爾維尼克！,8367328,8511913,69484,0,0,0,0,0,0,1,5,48,20,0,0,True
16,帝國湖岸堡攻城戰,突破第四軍團於博茲雅建設的總根據地——帝國湖岸堡途中的障礙，鎮壓湖岸堡！,0,0,69487,9626,0,0,0,0,0,4,6,48,20,1,0,True
17,群蛇狂舞——妖戰百人隊,術士大隊妖戰百人隊驅使著妖蛇札尼爾查攻打了過來，殲滅敵方部隊，阻止他們的進攻！,8664684,8664761,69620,0,0,0,0,0,0,3,2,48,20,0,0,True
18,試製性飛行魔導裝甲——黑色燃焰,地獄潛者的改良型機體黑色燃焰空降到了戰場，打倒試製型飛行型魔導裝甲——黑色燃焰！,8664685,8664762,69629,0,0,0,0,0,0,1,1,48,20,0,0,True
19,慘無人道的強化兵——超級調整兵達波格,機械化步兵大隊的強化兵達波格被改造成了可怕的生物兵器，打倒超級調整兵達波格！,8664686,8664763,69620,0,0,0,0,0,0,2,3,1,20,0,4,True
20,複製告密者——第四軍團謝米哈扎,魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團謝米哈扎！,8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
21,焦土魔蠍——赫德提特,魔獸大隊的馴獸師放出了在終末焦土捕獲到的魔蠍，打倒焦土魔蠍——赫德提特！,8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,True
22,鋼鐵人馬——魔導騎兵大隊,第四軍團投入了無人駕駛型魔導兵器用作增援，消滅魔導騎兵大隊！,8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,True
23,第四軍團軍政官——梅內紐斯,負責指揮博茲雅駐軍的軍政官梅內紐斯發出了決鬥的邀請，在單挑中打倒梅內紐斯！,8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,True
24,異界魔王——漢比,術士大隊的妖術士召喚出了渴望鮮血的大妖異，打倒異界魔王——漢比！,8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
25,邪惡冰狼——惡名蒼狼,術士大隊的妖術士凝聚魔力召喚出了邪惡冰狼，打倒邪惡冰狼——惡名蒼狼！,8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
26,複製魔人——第四軍團貝利亞斯,魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團貝利亞斯！,8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,True
27,新兵器投入——機甲百人隊,機械化步兵大隊的魔導技師長西西尼烏斯將最新型的魔導兵器群投放到了戰場，殲滅機甲百人隊！,8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,True
28,有角凶鳥——阿爾科諾斯特,魔獸大隊的馴獸師為了推進戰線，將殺手鐧投入了戰場，打倒有角凶鳥——阿爾科諾斯特！,8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,True
29,複製統治者——第四軍團赫修馬倫,魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團赫修馬倫！,8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
30,光輝虹蛇——阿依達,術士大隊為了維持戰線，召喚出了新的魔法生物，打倒光輝虹蛇——阿依達！,8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,True
31,戰慄的百獸之王——獸王萊昂,不停尋找著強敵的千夫長萊昂發出了決鬥的邀請，在單挑中打倒獸王萊昂！,8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,True
32,旗艦達爾里阿達號攻略戰,敵方旗艦陷入了無法行動的狀態，趁現在與同伴們一起進攻，打倒最深處的敵人！,0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,True
33,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
41,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
