#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
11,控制移動,MOVE_AND_STEER,1,255,255,1,0,False
12,前進 / 向前移動,MOVE_FORE,2,255,255,1,3,False
13,後退 / 向後移動,MOVE_BACK,3,255,255,1,3,False
14,左轉 / 向左移動,MOVE_LEFT,4,255,255,1,3,False
15,右轉 / 向右移動,MOVE_RIGHT,5,255,255,1,3,False
16,向左平移,MOVE_STRIFE_L,6,255,255,1,3,False
17,向右平移,MOVE_STRIFE_R,7,255,255,1,3,False
18,跳躍,JUMP,8,255,255,1,3,False
19,切換奔跑與行走,WALK,9,255,255,1,3,False
20,開啟/關閉自動前進,AUTORUN_KEY,10,255,255,1,3,False
21,拔出/收回武器,SWARD,11,255,255,1,3,False
22,鎖定所選目標,CAMERA_FOCUS,12,255,255,1,6,False
23,飛行/潛水：下降,MOVE_DESCENT,13,255,255,1,3,False
24,飛行/潛水：維持高度,MOVE_RETENTION,14,255,255,1,3,False
25,飛行/潛水：盤旋上升,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,飛行/潛水：盤旋下降,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
51,向上移動視角,CAMERA_UP,17,255,255,1,6,False
52,向下移動視角,CAMERA_DOWN,18,255,255,1,6,False
53,向左移動視角,CAMERA_LEFT,19,255,255,1,6,False
54,向右移動視角,CAMERA_RIGHT,20,255,255,1,6,False
55,切換第一人稱視角與第三人稱視角,CAMERA_MODE,21,255,255,1,6,False
56,翻轉視角,CAMERA_BACKWARD,22,255,255,1,6,False
57,拉進視角 / 上一頁,CAMERA_ZOOMIN,23,255,255,1,6,False
58,拉遠視角 / 下一頁,CAMERA_ZOOMOUT,24,255,255,1,6,False
59,將視角恢復預設設定,CAMERA_LOAD,25,255,255,1,6,False
60,記錄當前視角設定,CAMERA_SAVE,26,255,255,1,6,False
61,重置視角設定,CAMERA_RESET,27,255,255,1,6,False
62,提高視角俯視角度,CAM_TILT_UP,28,255,255,1,6,False
63,降低視角俯視角度,CAM_TILT_DOWN,29,255,255,1,6,False
64,視線面向當前鏡頭,CAMERA_LOOKING,30,255,255,1,6,False
65,集體動作（拍照模式）,GROUP_POSE,32,255,255,1,1,False
66,觀景視角,IDLING_CAMERA,31,255,255,1,1,False
103,從最近的敵人開始從左至右切換所選目標,TARGET_NEXT,1,255,255,2,2,False
104,從最近的敵人開始從右至左切換所選目標,TARGET_PREV,2,255,255,2,2,False
105,選中隊員列表第1位隊員（自己）,TARGET_P1,3,255,255,2,2,False
106,選中隊員列表第2位隊員,TARGET_P2,4,255,255,2,2,False
107,選中隊員列表第3位隊員,TARGET_P3,5,255,255,2,2,False
108,選中隊員列表第4位隊員,TARGET_P4,6,255,255,2,2,False
109,選中隊員列表第5位隊員,TARGET_P5,7,255,255,2,2,False
110,選中隊員列表第6位隊員,TARGET_P6,8,255,255,2,2,False
111,選中隊員列表第7位隊員,TARGET_P7,9,255,255,2,2,False
112,選中隊員列表第8位隊員,TARGET_P8,10,255,255,2,2,False
113,選中自己的召喚獸,TARGET_PET,11,255,255,2,2,False
114,選中目標的目標（輔助目標）,TARGET_TTOT,13,255,255,2,2,False
115,選中前一次選中的目標,TARGET_LASTTARGET,14,255,255,2,2,False
116,選中前一次選中的敵人,TARGET_LASTENEMY,15,255,255,2,2,False
117,選中對自己發動攻擊的敵人,TARGET_LASTATTACKER,16,255,255,2,2,False
118,選中距離最近的敵人,TARGET_CLOSEST_ENEMY,17,255,255,2,2,False
119,選中距離最近的玩家角色,TARGET_CLOSEST_PC,18,255,255,2,2,False
120,選中距離最近的NPC角色或場景物體,TARGET_CLOSEST_NPC,19,255,255,2,2,False
121,焦點目標,TARGET_FOCUS,20,255,255,2,2,False
122,選中焦點目標,TARGET_SELECT,21,255,255,2,2,False
123,轉向面向目標的方向,FACE,22,255,255,2,2,False
124,分類選擇：＋,CIRCLE_ALL,23,255,255,2,2,False
125,分類選擇：＋,CIRCLE_ENEMY,24,255,255,2,2,False
126,分類選擇：＋,CIRCLE_PARTY,25,255,255,2,2,False
127,分類選擇：＋,CIRCLE_PC,26,255,255,2,2,False
136,敵對列表中向上切換,TARGET_ENEMY_LIST_UP_KEY,27,255,255,2,2,False
137,敵對列表中向下切換,TARGET_ENEMY_LIST_DOWN_KEY,28,255,255,2,2,False
138,團隊清單中順序切換,TARGET_ALLIANCE_NEXT_KEY,29,255,255,2,2,False
139,團隊列表中逆序切換,TARGET_ALLIANCE_PREV_KEY,30,255,255,2,2,False
140,團隊清單1中順序切換,TARGET_ALLIANCE1_NEXT,31,255,255,2,2,False
141,團隊列表1中逆序切換,TARGET_ALLIANCE1_PREV,32,255,255,2,2,False
142,團隊清單2中順序切換,TARGET_ALLIANCE2_NEXT,33,255,255,2,2,False
143,團隊列表2中逆序切換,TARGET_ALLIANCE2_PREV,34,255,255,2,2,False
144,選中團隊1的1號隊員,TARGET_ALLIANCE1_1,35,255,255,2,2,False
145,選中團隊1的2號隊員,TARGET_ALLIANCE1_2,36,255,255,2,2,False
146,選中團隊1的3號隊員,TARGET_ALLIANCE1_3,37,255,255,2,2,False
147,選中團隊1的4號隊員,TARGET_ALLIANCE1_4,38,255,255,2,2,False
148,選中團隊1的5號隊員,TARGET_ALLIANCE1_5,39,255,255,2,2,False
149,選中團隊1的6號隊員,TARGET_ALLIANCE1_6,40,255,255,2,2,False
150,選中團隊1的7號隊員,TARGET_ALLIANCE1_7,41,255,255,2,2,False
151,選中團隊1的8號隊員,TARGET_ALLIANCE1_8,42,255,255,2,2,False
152,選中團隊2的1號隊員,TARGET_ALLIANCE2_1,43,255,255,2,2,False
153,選中團隊2的2號隊員,TARGET_ALLIANCE2_2,44,255,255,2,2,False
154,選中團隊2的3號隊員,TARGET_ALLIANCE2_3,45,255,255,2,2,False
155,選中團隊2的4號隊員,TARGET_ALLIANCE2_4,46,255,255,2,2,False
156,選中團隊2的5號隊員,TARGET_ALLIANCE2_5,47,255,255,2,2,False
157,選中團隊2的6號隊員,TARGET_ALLIANCE2_6,48,255,255,2,2,False
158,選中團隊2的7號隊員,TARGET_ALLIANCE2_7,49,255,255,2,2,False
159,選中團隊2的8號隊員,TARGET_ALLIANCE2_8,50,255,255,2,2,False
160,選中自己的搭檔,BUDDY_TARGET,12,255,255,2,2,False
161,水晶衝突：選中敵方的1號隊員,TARGET_PVP_OPP_P1,51,255,255,2,2,False
162,水晶衝突：選中敵方的2號隊員,TARGET_PVP_OPP_P2,52,255,255,2,2,False
163,水晶衝突：選中敵方的3號隊員,TARGET_PVP_OPP_P3,53,255,255,2,2,False
164,水晶衝突：選中敵方的4號隊員,TARGET_PVP_OPP_P4,54,255,255,2,2,False
165,水晶衝突：選中敵方的5號隊員,TARGET_PVP_OPP_P5,55,255,255,2,2,False
171,開始輸入聊天內容,CMD_CHAT,1,255,255,4,5,False
172,開始輸入文本指令,CMD_COMMAND,2,255,255,4,5,False
173,臨時回覆（順序）,CMD_REPLY,3,255,255,4,5,False
174,臨時回覆（逆序）,CMD_REPLY_REV,4,255,255,4,5,False
175,臨時切換到說話頻道,CMD_SAY,5,255,255,4,5,False
176,臨時切換到呼喊頻道,CMD_YELL,6,255,255,4,5,False
177,臨時切換到喊話頻道,CMD_SHOUT,7,255,255,4,5,False
178,臨時切換到小隊頻道,CMD_PARTY,8,255,255,4,5,False
179,臨時切換到團隊頻道,CMD_ALLIANCE,9,255,255,4,5,False
180,臨時切換到公會頻道,CMD_FREECOM,10,255,255,4,5,False
181,臨時切換到通訊貝頻道（順序）,CMD_LINKSHELL,22,255,255,4,5,False
182,臨時切換到通訊貝頻道（逆序）,CMD_LINKSHELL_REV,23,255,255,4,5,False
183,臨時切換到通訊貝1頻道,CMD_LINKSHELL_1,24,255,255,4,5,False
184,臨時切換到通訊貝2頻道,CMD_LINKSHELL_2,25,255,255,4,5,False
185,臨時切換到通訊貝3頻道,CMD_LINKSHELL_3,26,255,255,4,5,False
186,臨時切換到通訊貝4頻道,CMD_LINKSHELL_4,27,255,255,4,5,False
187,臨時切換到通訊貝5頻道,CMD_LINKSHELL_5,28,255,255,4,5,False
188,臨時切換到通訊貝6頻道,CMD_LINKSHELL_6,29,255,255,4,5,False
189,臨時切換到通訊貝7頻道,CMD_LINKSHELL_7,30,255,255,4,5,False
190,臨時切換到通訊貝8頻道,CMD_LINKSHELL_8,31,255,255,4,5,False
191,回覆（順序）,CMD_REPLY_ALWAYS,103,255,255,4,5,False
192,回覆（逆序）,CMD_REPLY_REV_ALWAYS,104,255,255,4,5,False
193,切換到說話頻道,CMD_SAY_ALWAYS,105,255,255,4,5,False
194,切換到呼喊頻道,CMD_YELL_ALWAYS,106,255,255,4,5,False
196,切換到小隊頻道,CMD_PARTY_ALWAYS,108,255,255,4,5,False
197,切換到團隊頻道,CMD_ALLIANCE_ALWAYS,109,255,255,4,5,False
198,切換到公會頻道,CMD_FREECOM_ALWAYS,110,255,255,4,5,False
199,切換到通訊貝頻道（順序）,CMD_LINKSHELL_ALWAYS,122,255,255,4,5,False
200,切換到通訊貝頻道（逆序）,CMD_LINKSHELL_REV_ALWAYS,123,255,255,4,5,False
201,切換到通訊貝1頻道,CMD_LINKSHELL_1_ALWAYS,124,255,255,4,5,False
202,切換到通訊貝2頻道,CMD_LINKSHELL_2_ALWAYS,125,255,255,4,5,False
203,切換到通訊貝3頻道,CMD_LINKSHELL_3_ALWAYS,126,255,255,4,5,False
204,切換到通訊貝4頻道,CMD_LINKSHELL_4_ALWAYS,127,255,255,4,5,False
205,切換到通訊貝5頻道,CMD_LINKSHELL_5_ALWAYS,128,255,255,4,5,False
206,切換到通訊貝6頻道,CMD_LINKSHELL_6_ALWAYS,129,255,255,4,5,False
207,切換到通訊貝7頻道,CMD_LINKSHELL_7_ALWAYS,130,255,255,4,5,False
208,切換到通訊貝8頻道,CMD_LINKSHELL_8_ALWAYS,131,255,255,4,5,False
211,確定操作,OK,1,255,255,5,1,True
212,取消操作,CANCEL,2,255,255,5,1,True
213,關閉所有視窗,ESC,3,255,255,5,1,True
214,設定選單,PAD_MAINMENUFOCUS,4,255,255,5,1,True
215,子選單,MENU,5,255,255,5,1,False
216,向上移動指標/小隊列表中向上切換,UP,6,255,255,5,1,False
217,向下移動指標/小隊列表中向下切換,DOWN,7,255,255,5,1,False
218,向左移動指標/分類選擇向左切換,LEFT,8,255,255,5,1,False
219,向右移動指標/分類選擇向右切換,RIGHT,9,255,255,5,1,False
220,順序選擇介面標籤,TAB_NEXT,10,255,255,5,1,False
221,逆序選擇介面標籤,TAB_PREV,11,255,255,5,1,False
222,快速鍵向上切換,HOTBAR_UP,12,255,253,5,1,False
223,快速鍵向下切換,HOTBAR_DOWN,13,255,253,5,1,False
224,螢幕截圖,KEY_SCREENSHOT,14,255,243,5,1,False
225,隱藏所有視窗,HIDE,15,255,255,5,1,False
226,介面設定模式,MENU_LAYOUT,16,255,255,5,1,False
227,順序選擇各項介面要素,PAD_HUDFOCUS,21,255,255,5,1,False
228,逆序選擇各項介面要素,PAD_HUDFOCUS_PREV,22,255,255,5,1,False
229,目標過濾,TARGET_CLICK_FILTER,23,255,255,5,1,False
230,縮放視窗,MENU_SCALE,24,255,255,5,1,False
231,切換到快速鍵1,HOTBAR_SET_1,33,255,253,5,1,False
232,切換到快速鍵2,HOTBAR_SET_2,34,255,253,5,1,False
233,切換到快速鍵3,HOTBAR_SET_3,35,255,253,5,1,False
234,切換到快速鍵4,HOTBAR_SET_4,36,255,253,5,1,False
235,切換到快速鍵5,HOTBAR_SET_5,37,255,253,5,1,False
236,切換到快速鍵6,HOTBAR_SET_6,38,255,253,5,1,False
237,切換到快速鍵7,HOTBAR_SET_7,39,255,253,5,1,False
238,切換到快速鍵8,HOTBAR_SET_8,40,255,253,5,1,False
239,切換到快速鍵9,HOTBAR_SET_9,41,255,253,5,1,False
240,切換到快速鍵10,HOTBAR_SET_10,42,255,253,5,1,False
241,停止巨集指令,MACRO_FORCED_OUTAGE,26,255,255,5,1,False
242,切換到特殊快速鍵,HOTBAR_SET_EX,43,255,253,5,1,False
243,滑鼠位置,MOUSE_CURSOR_SONAR,27,255,253,5,1,False
244,整體靜音,MASTER_VOLUME_MUTE,28,255,255,5,1,False
245,任務通用鍵,MENU_CONTENTS_GENERAL,30,255,255,5,1,False
246,切換到介面設定1,HUDLAYOUT_SET1,17,255,255,5,1,False
247,切換到介面設定2,HUDLAYOUT_SET2,18,255,255,5,1,False
248,切換到介面設定3,HUDLAYOUT_SET3,19,255,255,5,1,False
249,切換到介面設定4,HUDLAYOUT_SET4,20,255,255,5,1,False
251,角色,MENU_STATUS,1,255,255,3,0,False
252,物品,MENU_BAG,6,255,255,3,0,False
253,兵裝庫,MENU_ARMORY,7,255,255,3,0,False
254,任務道具,MENU_EVENT_BAG,9,255,255,3,0,False
255,地圖,MENU_MAP,11,255,255,3,0,False
256,技能選單,MENU_ACTION,12,255,255,3,0,False
257,情感動作,MENU_EMOTE,13,255,255,3,0,False
258,坐騎一覽,MENU_MOUNT_NOTEBOOK,14,255,255,3,0,False
259,寵物一覽,MENU_MINION_NOTEBOOK,15,255,255,3,0,False
260,PvP資料,MENU_PVP_PROFILE,19,255,255,3,0,False
261,社交,MENU_SOCIAL,21,255,255,3,0,False
262,小隊,MENU_PARTY_MEMBER,22,255,255,3,0,False
263,好友名單,MENU_FRIEND_LIST,24,255,255,3,0,False
264,黑名單,MENU_BLACK_LIST,26,255,255,3,0,False
265,玩家搜尋,MENU_PC_SEARCH,30,255,255,3,0,False
266,隊員招募,MENU_LFG,32,255,255,3,0,False
267,準備確認,MENU_READY_CHECK,33,255,255,3,0,False
268,公會,MENU_FREECOM,36,255,255,3,0,False
269,房屋,MENU_HOUSING,37,255,255,3,0,False
270,通訊貝,MENU_LINKSHELL,39,255,255,3,0,False
271,任務搜尋器,MENU_CONTENT,41,255,255,3,0,False
272,任務情報,MENU_CONTENT_INFO,46,255,255,3,0,False
273,日誌,MENU_JOURNAL,47,255,255,3,0,False
274,製作筆記,MENU_CRAFT,51,255,255,3,0,False
275,採集筆記,MENU_GATHER,52,255,255,3,0,False
276,討伐筆記,MENU_MONSTER,53,255,255,3,0,False
277,釣魚筆記,MENU_FISH,54,255,255,3,0,False
278,魚類圖鑑,MENU_FISH_GUIDE,55,255,255,3,0,False
279,挑戰筆記,MENU_CONTENTS_NOTEBOOK,57,255,255,3,0,False
280,探索筆記,MENU_ADVENTURE_NOTEBOOK,56,255,255,3,0,False
281,目標標記,MENU_MARK,59,255,255,3,0,False
282,場地標記,MENU_FIELD_MARK,60,255,255,3,0,False
283,搭檔,MENU_BUDDY,62,255,255,3,0,False
284,返回,MENU_RETURN,61,255,255,3,0,False
285,傳送,MENU_TELEPO,63,255,255,3,0,False
286,成就,MENU_ACHIVE,64,255,255,3,0,False
287,系統,MENU_SYSTEM,65,255,253,3,0,False
288,新手指南,MENU_HOWTO,69,255,255,3,0,False
289,推薦任務,MENU_RECOMMEND_LIST,70,255,255,3,0,False
290,使用者巨集,MENU_MACRO,71,255,255,3,0,False
291,情報服務台,MENU_SUPPORT,72,255,255,3,0,False
292,角色設定,MENU_CONFIG,75,255,255,3,0,False
293,系統設定,MENU_SYSCONFIG,76,255,255,3,0,False
294,消息顏色,MENU_LOGCOLOR,77,255,255,3,0,False
295,自訂按鍵,MENU_PADCUSTOMIZE,78,255,255,3,0,False
296,金碟遊樂園,MENU_GOLD_SAUCER,20,255,255,3,0,False
297,風脈泉,MENU_AETHER_CURRENT,66,255,255,3,0,False
298,貨幣一覽,MENU_CURRENCY,3,255,255,3,0,False
299,套裝,MENU_GEAR_SET,2,255,255,3,0,False
301,快速鍵1 - 第1格,HOTBAR_1_1,1,255,253,6,4,False
302,快速鍵1 - 第2格,HOTBAR_1_2,2,255,253,6,4,False
303,快速鍵1 - 第3格,HOTBAR_1_3,3,255,253,6,4,False
304,快速鍵1 - 第4格,HOTBAR_1_4,4,255,253,6,4,False
305,快速鍵1 - 第5格,HOTBAR_1_5,5,255,253,6,4,False
306,快速鍵1 - 第6格,HOTBAR_1_6,6,255,253,6,4,False
307,快速鍵1 - 第7格,HOTBAR_1_7,7,255,253,6,4,False
308,快速鍵1 - 第8格,HOTBAR_1_8,8,255,253,6,4,False
309,快速鍵1 - 第9格,HOTBAR_1_9,9,255,253,6,4,False
310,快速鍵1 - 第10格,HOTBAR_1_0,10,255,253,6,4,False
311,快速鍵1 - 第11格,HOTBAR_1_A,11,255,253,6,4,False
312,快速鍵1 - 第12格,HOTBAR_1_B,12,255,253,6,4,False
313,快速鍵2 - 第1格,HOTBAR_2_1,13,255,253,6,4,False
314,快速鍵2 - 第2格,HOTBAR_2_2,14,255,253,6,4,False
315,快速鍵2 - 第3格,HOTBAR_2_3,15,255,253,6,4,False
316,快速鍵2 - 第4格,HOTBAR_2_4,16,255,253,6,4,False
317,快速鍵2 - 第5格,HOTBAR_2_5,17,255,253,6,4,False
318,快速鍵2 - 第6格,HOTBAR_2_6,18,255,253,6,4,False
319,快速鍵2 - 第7格,HOTBAR_2_7,19,255,253,6,4,False
320,快速鍵2 - 第8格,HOTBAR_2_8,20,255,253,6,4,False
321,快速鍵2 - 第9格,HOTBAR_2_9,21,255,253,6,4,False
322,快速鍵2 - 第10格,HOTBAR_2_0,22,255,253,6,4,False
