#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
0,,,0,0,0,0,True
1,討伐經驗值提高,24小時內（地球時間），打倒敵人時獲得的經驗增加5%。,3500,64213,5,1,True
2,採集經驗值提高,24小時內（地球時間），採集時獲得的經驗增加5%。,3500,64215,5,2,True
3,製作經驗值提高,24小時內（地球時間），製作時獲得的經驗增加5%。,3500,64216,5,3,True
4,搭檔經驗值提高,24小時內（地球時間），搭檔獲得的經驗增加10%。,2800,64214,5,4,True
5,對戰戰績提高,24小時內（地球時間），對戰時所獲得的狼印戰績增加5%。,2800,64217,5,5,True
6,軍票提高,24小時內（地球時間），獲得的軍票增加5%。,2800,64218,5,6,True
7,鼓勵新人,24小時內（地球時間），25級以下戰鬥職業的所有狀態參數提高10%。,1750,64201,5,8,True
8,獲得力提高,24小時內（地球時間），大地使者提升5點獲得力。,2800,64202,5,9,True
9,鑑別力提高,24小時內（地球時間），大地使者提升5點鑑別力。,2800,64203,5,10,True
10,作業精度提高,24小時內（地球時間），能工巧匠提升5點作業精度。,2800,64204,5,11,True
11,加工精度提高,24小時內（地球時間），能工巧匠提升5點加工精度。,2800,64205,5,12,True
12,精鍊度增加量提高,24小時內（地球時間），精鍊度增長得更快。,3500,64209,5,13,True
13,食物效果時間延長,24小時內（地球時間），食物的效果時間延長5分鐘。,2800,64208,5,14,True
14,裝備損耗降低,24小時內（地球時間），裝備品耐久度損耗降低10%。,3500,64210,5,15,True
15,城內衝刺時間延長,24小時內（地球時間），城內衝刺效果時間延長25%。,2800,64220,5,16,True
16,傳送優惠,24小時內（地球時間），傳送所需要花費的Gil減少20%。,3500,64212,5,17,True
17,金碟幣提高,24小時內（地球時間），獲得的金碟幣增加5%。,2800,64219,5,7,True
18,,,0,0,0,0,False
19,,,0,0,0,0,False
20,,,0,0,0,0,False
21,,,0,0,0,0,False
22,,,0,0,0,0,False
23,,,0,0,0,0,False
24,,,0,0,0,0,False
25,,,0,0,0,0,False
26,,,0,0,0,0,False
27,,,0,0,0,0,False
28,,,0,0,0,0,False
29,,,0,0,0,0,False
30,,,0,0,0,0,False
