#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Unknown2,Unknown3,ModelChara,EquipHead,EquipBody,EquipLeg,EquipFoot,MoveControl,RideBGM,Icon,UIPriority,MountAction,Unknown_70_1,Unknown_70_2,Unknown16,Unknown17,Order,FlyingCondition,Unknown5,Unknown6,Unknown7,IsFlying,Unknown8,MountCustomize,ExitMoveDist,ExitMoveSpeed,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,Unknown9,ExtraSeats,Unknown10,Unknown11,Unknown12,IsEmote,Unknown20,IsAirborne,ExHotbarEnableConfig,UseEP,Unknown13,IsImmobile,Unknown14,HideHeadgear,Unknown18,Unknown19
0,,,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,45,15,15,0,0,0,10,10,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
1,專屬陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65536,65536,65537,0,2,62,4001,100,0,10,21,41,40,0,2,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
2,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65537,65537,65537,65537,3,61,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
3,,,0,0,0,1,0,0,,,SE_Bt_Etc_ChocoboBye,1,65552,65552,65537,0,3,61,0,0,0,10,21,41,40,-1,0,45,15,15,0,0,1,2,9,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
4,古卜,,0,0,0,1,0,0,SE_Bt_Etc_GuuBooWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GuuBooBye,200,0,0,0,0,4,121,4003,1000,1,8,19,39,40,1,1,45,15,15,1,2,0,15,9,100,0,0,60,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
5,遺產陸行鳥,,0,0,0,1,0,0,SE_Bt_Etc_ChocoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_ChocoboBye,1,65545,65545,65545,65545,2,62,4002,101,0,10,21,41,40,2,1,45,15,15,1,0,1,20,20,100,0,0,55,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
6,魔導裝甲,,0,0,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,131073,0,0,2,262,4006,10000,2,30,23,41,40,3,1,45,0,15,1,2,0,0,10,77,0,0,70,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False
7,,,0,0,0,1,0,0,,,,311,0,0,0,0,5,121,0,0,0,9,19,39,40,-1,0,45,15,15,0,0,2,0,0,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
8,夸爾,,0,0,0,1,0,0,SE_Bt_Etc_CuahrWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_CuahrBye,2047,0,0,0,0,2,121,4005,3200,0,10,21,41,42,4,1,45,70,70,1,2,3,20,10,60,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
9,惡精靈,,0,0,0,1,0,0,SE_Bt_Etc_AhrimanWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_AhrimanBye,167,0,0,0,0,2,121,4004,5000,0,19,23,41,44,5,1,45,15,70,1,2,4,20,10,100,0,0,50,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
