#,StartupText,RunningText,Unknown0
0,,,0
1,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第一次基地擴建工程」施工！
工程急需人手！歡迎各位協助者加入！",1978
2,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第一次宇宙快線鋪設工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1979
3,"月門基地東南方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東南方正在進行「居住艙安裝工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1980
4,"月門基地西北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西北方正在進行「第一次宇宙港建設工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1981
5,"月門基地東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東北方正在進行「第一次機庫擴建工程」！
工程急需人手！歡迎各位協助者加入！",1982
6,"渴望灣西北方的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",,0
7,"渴望灣東南方的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",,0
8,"渴望灣南部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣南部正在進行「第一次隧道工程」施工！
工程急需人手！歡迎各位協助者加入！",1983
9,"渴望灣南部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣南部正在進行「第二次隧道工程」施工！
工程急需人手！歡迎各位協助者加入！",1984
10,"渴望灣西南方隧道深處的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",,0
11,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「第二次基地擴建工程」施工！
工程急需人手！歡迎各位協助者加入！",1985
12,"月門基地西南方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西南方正在進行「能源設施擴建工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1986
13,"月門基地西部的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西部正在進行「供水設施擴建工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1987
14,"月門基地東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地東北方正在進行「第二次機庫擴建工程」！
工程急需人手！歡迎各位協助者加入！",1988
15,"月門基地西北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地西北方正在進行「第二次宇宙港建設工程支援行動」！
工程急需人手！歡迎各位協助者加入！",1989
16,"渴望灣東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣東北方正在進行「第一次升降梯建設用地整備工程」施工！
工程急需人手！歡迎各位協助者加入！",1990
17,"渴望灣東北方的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","渴望灣東北方正在進行「第二次升降梯建設用地整備工程」施工！
工程急需人手！歡迎各位協助者加入！",1991
18,"渴望灣東北方地底深處的建設工程即將完工。
屆時工程對應的施工區域將禁止人員進入，敬請注意。",,0
19,"月門基地的聯合工程即將動工。
工程急需人手！歡迎各位協助者加入！","月門基地正在進行「基地綜合設施擴建工程」施工！
工程急需人手！歡迎各位協助者加入！",1992
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
