#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,"
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話。","
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話。","
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話。",150021,1,1,1
6,"
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

按**確認鍵**選擇人物會開始任務相關對話。","
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

按**確認鍵**選擇人物會開始任務相關對話。","
可以觸發任務的角色頭上都顯示有一個醒目的**任務圖示**。

按**確認鍵**選擇人物會開始任務相關對話。",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"
接受任務時，在彈出的接受視窗中會顯示出任務概況及報酬。

點擊**接受**按鈕後便會開始任務。",,,150121,1,1,0
11,"
接受任務時，在彈出的接受視窗中會顯示出任務概況及報酬。

按下**接受**按鈕後便會開始任務。",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。","
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。","
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

用**滑鼠右鍵**點擊人物或圖示會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。",150811,1,1,1
16,"
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

按**確認鍵**選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。","
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

按**確認鍵**選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。","
在任務的最後一步時，目標角色的頭上會顯示出表示**任務終點**的符號。

按**確認鍵**選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及Gil等相應的**報酬**。",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"
**快速選單**中可以使用遊戲裡的各種常用功能。

例如，選擇**角色**可以查看當前的裝備及狀態，選擇**日誌**可以查看當前接受的任務的具體情況和已經完成的任務履歷。",,,150141,1,0,0
21,"
選擇**系統**可以打開系統功能表，其中不但包括能對鍵盤進行調整的**按鍵設定**，還有能對操作類型及視角等進行調整的**角色設定**等功能。

已經查看過的**指南**內容也可以在系統功能表中的**新手指南**裡再次確認。",,,150142,1,0,0
22,"
遊戲中的狀態會自動保存到伺服器上。

為了防止出現意外遺失遊戲進度，強烈建議在遊戲中選擇**退出遊戲**來退出。

此外，其他的快速選單也都對應著各種便利的功能。",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,"
發動**返回**魔法可以馬上回到**返回點**。

在快速選單的**地圖&移動**分類中也有**返回**的按鈕，可以很方便地詠唱魔法。

**※此魔法使用一次之後要等待真實時間15分鐘才能再次使用。**",,,150131,1,0,0
26,"
每顆乙太之光都可以進行**返回點**設定，不過每次只能設定在一個地方，無法設定多個返回點，所以推薦設定在來往頻率最高的地區。

用**滑鼠右鍵**點擊乙太之光打開功能表可以進行返回點的設定。",,,150132,1,0,0
27,"
發動**返回**魔法可以馬上回到**返回點**。

在快速選單的**地圖&移動**分類中也有**返回**的按鈕，可以很方便地詠唱魔法。

**※此魔法使用一次之後要等待地球時間15分鐘才能再次使用。**",,,150131,1,0,0
28,"
每顆乙太之光都可以進行**返回點**設定，不過每次只能設定在一個地方，無法設定多個返回點，所以推薦設定在來往頻率最高的地區。

選中乙太之光後按下**確認鍵**打開功能表可以進行返回點的設定。",,,150133,1,0,0
29,,,,0,0,0,0
30,"
在執行任務的過程中，地圖上會顯示出該任務的目的地。

點擊快速選單**地圖&移動**分類中的**地圖**按鈕，或者按下鍵盤上的**M鍵**，都可以打開地圖視窗進行確認。",,,150041,1,1,0
31,"
點擊目的清單中的**當前目的**也可以打開地圖視窗，同時會直觀地顯示出接下來的目的地區域。

只要按照地圖上的指示前進，就不用擔心在任務途中迷失方向了。",,,150042,1,1,0
32,"
在執行任務的過程中，地圖上會顯示出該任務的目的地。

選擇快速選單**地圖&移動**分類中的地圖**按鈕**鍵可以打開地圖視窗進行確認。",,,150041,1,1,0
33,"
選擇快速選單中的**當前目的**也可以打開地圖視窗，同時會直觀地顯示出接下來的目的地區域。

只要按照地圖上的指示前進，就不用擔心在任務途中迷失方向了。",,,150042,1,1,0
34,,,,0,0,0,0
35,"
在快速選單中點擊**角色**按鈕或者按下鍵盤上的**C鍵**可以打開**角色畫面**。

**角色畫面**中可以查看當前的裝備情況。",,,150181,1,0,0
36,"
**角色畫面**中還可以更換玩家自身的裝備。

選中裝備欄的特定部位會打開**兵裝庫**的視窗，每種裝備都單獨分為一類，只需切換部位便可快速進行裝備的更換。",,,150182,1,0,0
37,"
在快速選單中選擇**角色**可以打開**角色畫面**。

**角色畫面**中可以查看當前的裝備情況。",,,150181,1,0,0
38,,,,0,0,0,0
39,,,,0,0,0,0
40,"
與城內的**郵差莫古利**對話，或者查看自己住宅庭院中的**莫古信箱**，都可以開啟**莫古利信件**的服務。

利用莫古利信件，可以方便的向登錄到好友名單中的朋友發送郵件。",,,150221,1,0,0
41,"
點擊莫古利信箱視窗右上的**寫新郵件**按鈕，可以打開**編寫新郵件**的視窗並寫入郵件內容。

**道具**及**Gil**等物品也可以以附件的形式隨文本一起發送給對方。",,,150222,1,0,0
42,"
選擇莫古利信箱視窗右上的**寫新郵件**按鈕，可以打開**編寫新郵件**的視窗並寫入郵件內容。

**道具**及**Gil**等物品也可以以附件的形式隨文本一起發送給對方。",,,150222,1,0,0
43,,,,0,0,0,0
44,,,,0,0,0,0
45,"
與**城內乙太之晶**進行共鳴後可以使用**都市傳送網**的功能。

通過都市傳送網，可以在城內的乙太之晶之間自由來往。",,,150191,1,0,0
