#,Format,Unknown0,Unknown1
0,**UNKNOWN,0,False
1,**UNKNOWN,0,False
2,**UNKNOWN,0,False
3,**UNKNOWN,0,False
4,,0,False
5,,0,False
6,,0,False
7,,0,False
8,,0,False
9,,0,False
10,**UNKNOWN：UNKNOWN,0,True
11,**UNKNOWN：UNKNOWN,0,True
12,**>>UNKNOWN：UNKNOWN,0,False
13,**UNKNOWN >> UNKNOWN,0,True
14,**(UNKNOWN) UNKNOWN,0,True
15,**(UNKNOWN) UNKNOWN,0,True
16,**[1]<UNKNOWN> UNKNOWN,0,True
17,**[2]<UNKNOWN> UNKNOWN,0,True
18,**[3]<UNKNOWN> UNKNOWN,0,True
19,**[4]<UNKNOWN> UNKNOWN,0,True
20,**[5]<UNKNOWN> UNKNOWN,0,True
21,**[6]<UNKNOWN> UNKNOWN,0,True
22,**[7]<UNKNOWN> UNKNOWN,0,True
23,**[8]<UNKNOWN> UNKNOWN,0,True
24,**[公會]<UNKNOWN> UNKNOWN,0,True
25,,0,False
26,,0,False
27,**[新人]UNKNOWN : UNKNOWN,0,True
28,**UNKNOWNUNKNOWN,0,False
29,**UNKNOWN,50,False
30,**UNKNOWN：UNKNOWN,0,True
31,**(UNKNOWN) UNKNOWN,0,False
32,**(UNKNOWN) UNKNOWN,0,False
33,,0,False
34,,0,False
35,,0,False
36,**[PvP]<UNKNOWN> UNKNOWN,0,True
37,**[跨界貝1]<UNKNOWN> UNKNOWN,0,True
38,,0,False
39,,0,False
40,,0,False
41,**UNKNOWN,50,False
42,**UNKNOWN,50,False
43,**UNKNOWN,50,False
44,**UNKNOWN,50,False
45,**UNKNOWN,50,False
46,**UNKNOWN,50,False
47,**UNKNOWN,50,False
48,**UNKNOWN,50,False
49,**UNKNOWN,50,False
50,,0,False
51,,0,False
52,,0,False
53,,0,False
54,,0,False
55,**UNKNOWN,0,False
56,**UNKNOWN,0,False
57,**UNKNOWN,0,False
58,**UNKNOWN,50,False
59,**UNKNOWN,0,False
60,**UNKNOWN,0,False
61,**UNKNOWN : UNKNOWN,0,False
62,**UNKNOWN,0,False
63,,0,False
64,**UNKNOWN,50,False
65,**UNKNOWN,0,False
66,**UNKNOWN,50,False
67,**UNKNOWN,50,False
68,**UNKNOWN：UNKNOWN,0,False
69,**UNKNOWN,0,False
70,**UNKNOWN,0,False
71,**UNKNOWN,0,False
72,**UNKNOWN,0,False
73,**UNKNOWN,0,False
74,**UNKNOWN,0,False
75,**UNKNOWN,0,False
76,**UNKNOWN,0,False
77,**UNKNOWN,0,False
78,**UNKNOWN,0,False
79,**UNKNOWN,0,False
80,**[遊戲管理員]UNKNOWN >> UNKNOWN,0,True
81,**[遊戲管理員]UNKNOWN：UNKNOWN,0,True
82,**[遊戲管理員]UNKNOWN：UNKNOWN,0,True
83,**[遊戲管理員]UNKNOWN：UNKNOWN,0,True
84,**([遊戲管理員]UNKNOWN) UNKNOWN,0,True
85,**[公會]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
86,**[1]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
87,**[2]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
88,**[3]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
89,**[4]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
90,**[5]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
91,**[6]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
92,**[7]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
93,**[8]<[遊戲管理員]UNKNOWN> UNKNOWN,0,True
94,**[新人][遊戲管理員]<UNKNOWN> : UNKNOWN,0,True
95,,0,False
96,,0,False
97,,0,False
98,,0,False
99,,0,False
100,,0,False
101,**[跨界貝2]<UNKNOWN> UNKNOWN,0,True
102,**[跨界貝3]<UNKNOWN> UNKNOWN,0,True
103,**[跨界貝4]<UNKNOWN> UNKNOWN,0,True
104,**[跨界貝5]<UNKNOWN> UNKNOWN,0,True
105,**[跨界貝6]<UNKNOWN> UNKNOWN,0,True
106,**[跨界貝7]<UNKNOWN> UNKNOWN,0,True
107,**[跨界貝8]<UNKNOWN> UNKNOWN,0,True
108,,0,False
109,,0,False
110,,0,False
