#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,矿物传承录·库尔札斯篇,0,12238,2000,1,16,0
2001,矿物传承录·库尔札斯篇,0,12238,2000,1,16,0
2002,草木传承录·库尔札斯篇,0,12698,2000,2,17,0
2003,草木传承录·库尔札斯篇,0,12698,2000,2,17,0
2004,矿物传承录·龙堡篇,1,12239,2001,1,16,0
2005,矿物传承录·龙堡篇,1,12239,2001,1,16,0
2006,草木传承录·龙堡篇,1,12699,2001,2,17,0
2007,草木传承录·龙堡篇,1,12699,2001,2,17,0
2008,矿物传承录·阿巴拉提亚篇,2,12240,2002,1,16,0
2009,矿物传承录·阿巴拉提亚篇,2,12240,2002,1,16,0
2010,草木传承录·阿巴拉提亚篇,2,12700,2002,2,17,0
2011,草木传承录·阿巴拉提亚篇,2,12700,2002,2,17,0
2012,矿物传承录·基拉巴尼亚篇,3,17838,2003,1,16,0
2013,矿物传承录·基拉巴尼亚篇,3,17838,2003,1,16,0
2014,草木传承录·基拉巴尼亚篇,3,17840,2003,2,17,0
2015,草木传承录·基拉巴尼亚篇,3,17840,2003,2,17,0
2016,矿物传承录·奥萨德篇,4,17839,2004,1,16,0
2017,矿物传承录·奥萨德篇,4,17839,2004,1,16,0
2018,草木传承录·奥萨德篇,4,17841,2004,2,17,0
2019,草木传承录·奥萨德篇,4,17841,2004,2,17,0
2020,矿物传承录·诺弗兰特篇,5,26808,2005,1,16,0
2021,矿物传承录·诺弗兰特篇,5,26808,2005,1,16,0
2022,草木传承录·诺弗兰特篇,5,26809,2005,2,17,0
2023,草木传承录·诺弗兰特篇,5,26809,2005,2,17,0
2024,矿物传承录·北洋地域&伊尔萨巴德篇,6,36598,2010,1,16,0
2025,矿物传承录·北洋地域&伊尔萨巴德篇,6,36598,2010,1,16,0
2026,草木传承录·北洋地域&伊尔萨巴德篇,6,36602,2010,2,17,0
2027,草木传承录·北洋地域&伊尔萨巴德篇,6,36602,2010,2,17,0
2028,矿物传承录·星外天域篇,7,36600,2011,1,16,0
2029,矿物传承录·星外天域篇,7,36600,2011,1,16,0
2030,草木传承录·星外天域篇,7,36604,2011,2,17,0
2031,草木传承录·星外天域篇,7,36604,2011,2,17,0
2032,矿物传承录·古代世界篇,8,36601,2012,1,16,0
2033,矿物传承录·古代世界篇,8,36601,2012,1,16,0
2034,草木传承录·古代世界篇,8,36605,2012,2,17,0
2035,草木传承录·古代世界篇,8,36605,2012,2,17,0
2036,矿物传承录·尤卡图拉尔篇,9,43878,2015,1,16,0
2037,矿物传承录·尤卡图拉尔篇,9,43878,2015,1,16,0
2038,草木传承录·尤卡图拉尔篇,9,43881,2015,2,17,0
2039,草木传承录·尤卡图拉尔篇,9,43881,2015,2,17,0
2040,矿物传承录·萨卡图拉尔篇（夏劳尼荒野）,10,43879,2016,1,16,0
2041,矿物传承录·萨卡图拉尔篇（夏劳尼荒野）,10,43879,2016,1,16,0
2042,草木传承录·萨卡图拉尔篇（夏劳尼荒野）,10,43882,2016,2,17,0
2043,草木传承录·萨卡图拉尔篇（夏劳尼荒野）,10,43882,2016,2,17,0
2044,矿物传承录·亚历山德里亚篇,11,43880,2017,1,16,0
2045,矿物传承录·亚历山德里亚篇,11,43880,2017,1,16,0
2046,草木传承录·亚历山德里亚篇,11,43883,2017,2,17,0
2047,草木传承录·亚历山德里亚篇,11,43883,2017,2,17,0
2200,重建伊修加德·矿物资源,74,0,2006,1,16,2
2201,重建伊修加德·矿物资源,74,0,2006,1,16,2
2202,重建伊修加德·草木资源,74,0,2006,2,17,2
2203,重建伊修加德·草木资源,74,0,2006,2,17,2
2204,重建伊修加德·矿物资源,74,0,2006,1,16,3
2205,重建伊修加德·矿物资源,74,0,2006,1,16,3
2206,重建伊修加德·草木资源,74,0,2006,2,17,3
2207,重建伊修加德·草木资源,74,0,2006,2,17,3
2208,天钢工具·矿物资源1,69384,0,2007,1,16,0
2209,天钢工具·矿物资源1,69384,0,2007,1,16,0
2210,天钢工具·草木资源1,69384,0,2007,2,17,0
2211,天钢工具·草木资源1,69384,0,2007,2,17,0
2212,重建伊修加德·矿物资源,74,0,2006,1,16,4
2213,重建伊修加德·矿物资源,74,0,2006,1,16,4
2214,重建伊修加德·草木资源,74,0,2006,2,17,4
2215,重建伊修加德·草木资源,74,0,2006,2,17,4
2216,天钢工具·矿物资源2,69428,0,2007,1,16,0
2217,,69428,0,0,1,16,0
2218,天钢工具·草木资源2,69428,0,2007,2,17,0
2219,,69428,0,0,2,17,0
2220,51级～,67631,0,2008,1,16,0
2221,51级～,67631,0,2008,1,16,0
2222,51级～,67631,0,2008,2,17,0
2223,51级～,67631,0,2008,2,17,0
2224,56级～,67631,0,2008,1,16,0
2225,56级～,67631,0,2008,1,16,0
2226,56级～,67631,0,2008,2,17,0
2227,56级～,67631,0,2008,2,17,0
2228,61级～,67631,0,2008,1,16,0
2229,61级～,67631,0,2008,1,16,0
2230,61级～,67631,0,2008,2,17,0
2231,61级～,67631,0,2008,2,17,0
2232,66级～,67631,0,2008,1,16,0
2233,66级～,67631,0,2008,1,16,0
2234,66级～,67631,0,2008,2,17,0
2235,66级～,67631,0,2008,2,17,0
2236,71级～,67631,0,2009,1,16,0
2237,71级～,67631,0,2009,1,16,0
2238,71级～,67631,0,2009,2,17,0
2239,71级～,67631,0,2009,2,17,0
2240,76级～,67631,0,2009,1,16,0
2241,76级～,67631,0,2009,1,16,0
2242,76级～,67631,0,2009,2,17,0
2243,76级～,67631,0,2009,2,17,0
2244,81级～,67631,0,2013,1,16,0
2245,81级～,67631,0,2013,1,16,0
2246,81级～,67631,0,2013,2,17,0
2247,81级～,67631,0,2013,2,17,0
2248,重建伊修加德·矿物资源,74,0,2006,1,16,5
2249,重建伊修加德·矿物资源,74,0,2006,1,16,5
2250,重建伊修加德·草木资源,74,0,2006,2,17,5
2251,重建伊修加德·草木资源,74,0,2006,2,17,5
2252,天钢工具·矿物资源3,69518,0,2007,1,16,0
2253,,69518,0,0,1,16,0
2254,天钢工具·草木资源3,69518,0,2007,2,17,0
2255,,69518,0,0,2,17,0
2256,86级～,67631,0,2013,1,16,0
2257,86级～,67631,0,2013,1,16,0
2258,86级～,67631,0,2013,2,17,0
2259,86级～,67631,0,2013,2,17,0
2260,,70137,0,0,1,16,0
2261,,70137,0,0,1,16,0
2262,,70137,0,0,2,17,0
2263,,70137,0,0,2,17,0
2264,,70138,0,0,1,16,0
2265,,70138,0,0,1,16,0
2266,,70138,0,0,2,17,0
2267,,70138,0,0,2,17,0
