#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,自定义,0,0,0,0,0,0,0,0,0
1,基础,2,11,1,0,0,0,1,1,0
2,简约,3,11,2,0,0,0,2,3,3
3,时尚,9,18,0,0,0,0,3,8,8
4,圆点,4,13,3,0,0,0,4,3,3
5,职能：防护职业,5,11,10,24,0,0,5,0,1
6,职能：进攻职业,6,11,10,25,0,0,7,0,1
7,职能：治疗职业,7,11,10,26,0,0,6,0,1
8,利姆萨·罗敏萨,6,20,4,28,35,42,8,5,5
9,格里达尼亚,10,20,4,28,36,42,9,7,7
10,乌尔达哈,9,20,4,28,37,42,10,4,4
11,勘探者,8,19,9,28,38,49,11,9,9
12,冒险家,8,14,9,30,38,44,12,10,10
13,巴哈姆特绝境战,54,160,0,161,162,163,2500,11,0
14,究极神兵绝境战,55,164,0,165,166,167,2501,12,0
15,亚历山大绝境战,56,168,0,169,170,171,2502,13,0
16,幻想龙诗绝境战,57,172,0,173,174,175,2503,14,0
17,多变迷宫：希拉狄哈水道,3,0,176,177,0,0,2402,0,0
18,友好部族任务：奥密克戎族,58,0,0,0,0,179,2315,15,15
19,几何图形：圆形,60,0,0,0,191,0,13,0,0
20,咖啡厅,59,0,180,0,0,194,14,0,0
21,音乐,61,0,0,0,0,196,15,16,16
22,友好部族任务：仙子族,63,0,0,0,0,257,2311,21,21
23,友好部族任务：奇塔利族,64,0,0,0,0,258,2312,22,22
24,友好部族任务：矮人族,65,0,0,0,0,259,2313,23,23
25,友好部族任务：悌阳象族,66,0,0,0,0,260,2314,24,24
26,友好部族任务：兔兔族,67,0,0,0,0,261,2316,25,25
27,欧米茄绝境验证战,68,262,0,263,264,265,2504,26,0
28,深层迷宫：正统优雷卡1,69,0,0,296,0,0,2358,0,0
29,深层迷宫：正统优雷卡2,70,0,0,297,0,0,2359,0,0
30,第七星历编年史：四圣兽奇谭,71,0,0,0,298,0,2251,0,0
31,开拓无人岛1,72,0,0,0,299,301,2340,0,0
32,开拓无人岛2,73,0,0,0,300,302,2341,0,0
33,友好部族任务：甲人族,74,0,0,0,0,333,2308,27,27
34,友好部族任务：阿难陀族,75,0,0,0,0,334,2309,28,28
35,友好部族任务：鲶鱼精族,76,0,0,0,0,335,2310,29,29
36,时代的终结,77,354,0,336,337,338,2250,0,0
37,10周年纪念,78,0,0,0,339,340,3950,30,0
38,多变迷宫：六根山,3,0,341,342,0,0,2403,0,0
39,海钓爱好者,79,343,0,344,345,346,2346,31,0
40,愿者上钩,80,347,0,348,349,350,2347,32,0
41,运筹帷幄,81,351,0,0,352,353,2350,33,33
42,友好部族任务：瓦努族,82,0,0,0,0,388,2305,34,34
43,友好部族任务：骨颌族,83,0,0,0,0,389,2306,35,35
44,友好部族任务：莫古力族,84,0,0,0,0,390,2307,36,36
45,艾欧泽亚神话：哈罗妮,85,0,0,391,392,393,2252,37,0
46,艾欧泽亚神话：梅茵菲娜,86,0,0,391,392,393,2253,37,0
47,艾欧泽亚神话：沙利亚克,87,0,0,391,392,393,2254,37,0
48,艾欧泽亚神话：妮美雅,88,0,0,391,392,393,2255,37,0
49,艾欧泽亚神话：利姆莱茵,89,0,0,391,392,393,2256,37,0
50,艾欧泽亚神话：奥修昂,90,0,0,391,392,393,2257,37,0
51,艾欧泽亚神话：比尔格,91,0,0,391,392,393,2258,37,0
52,艾欧泽亚神话：拉尔戈,92,0,0,391,392,393,2259,37,0
53,艾欧泽亚神话：阿泽玛,93,0,0,391,392,393,2260,37,0
54,艾欧泽亚神话：纳尔札尔,94,0,0,391,392,393,2261,37,0
55,艾欧泽亚神话：诺菲卡,95,0,0,391,392,393,2262,37,0
56,艾欧泽亚神话：阿尔基克,96,0,0,391,392,393,2263,37,0
57,塔塔露的大繁荣商店,97,0,0,394,395,0,2242,38,0
58,多变迷宫：阿罗阿罗岛,3,0,396,397,0,0,2404,0,0
59,天书奇谈,98,398,0,399,400,401,2351,39,0
60,幻巧拼图,99,402,0,403,404,405,2352,40,0
61,金碟巨豆中心1,100,406,0,0,0,0,3951,41,0
62,金碟巨豆中心2,101,407,0,0,0,0,3952,42,0
63,金碟巨豆中心3,102,408,0,0,0,0,3953,43,0
64,妖怪手表,103,409,0,0,410,411,3954,44,0
65,友好部族任务：地灵族,104,0,0,0,0,452,2302,45,45
66,友好部族任务：妖精族,105,0,0,0,0,453,2301,46,46
67,友好部族任务：蜥蜴人族,106,0,0,0,0,454,2300,47,47
68,友好部族任务：鱼人族,107,0,0,0,0,455,2303,48,48
69,友好部族任务：鸟人族,108,0,0,0,0,456,2304,49,49
70,图莱尤拉1,109,457,0,458,459,0,1036,50,0
71,图莱尤拉2,110,460,0,461,462,0,1037,51,0
72,九号解决方案1,111,463,0,464,465,0,1038,52,0
73,九号解决方案2,112,466,0,467,468,0,1039,53,0
74,伊修加德1,114,497,0,498,499,0,1020,55,0
75,伊修加德2,115,500,0,501,502,0,1021,56,0
76,田园郡1,116,503,0,504,505,0,1022,57,0
77,田园郡2,117,506,0,507,508,0,1023,58,0
78,黄金港1,118,509,0,510,511,0,1024,59,0
79,黄金港2,119,512,0,513,514,0,1025,60,0
80,神拳痕1,120,515,0,516,517,0,1026,61,0
81,神拳痕2,121,518,0,519,520,0,1027,62,0
82,水晶都1,122,521,0,522,523,0,1028,63,0
83,水晶都2,123,524,0,525,526,0,1029,64,0
84,游末邦1,124,527,0,528,529,0,1030,65,0
85,游末邦2,125,530,0,531,532,0,1031,66,0
86,旧萨雷安1,126,533,0,534,535,0,1032,67,0
87,旧萨雷安2,127,536,0,537,538,0,1033,68,0
88,拉札罕1,128,539,0,540,541,0,1034,69,0
89,拉札罕2,129,542,0,543,544,0,1035,70,0
90,友好部族任务：佩鲁佩鲁族,113,0,0,0,0,496,2317,54,54
91,光暗未来绝境战,130,575,0,576,577,578,2505,71,0
92,友好部族任务：辉鳞族,131,0,0,0,0,579,2318,72,72
93,深层迷宫：死者宫殿1,132,0,0,580,0,0,2354,0,0
94,深层迷宫：死者宫殿2,133,0,0,581,0,0,2355,0,0
95,深层迷宫：天之御柱1,134,0,0,582,0,0,2356,0,0
96,深层迷宫：天之御柱2,135,0,0,583,0,0,2357,0,0
97,蜃景幻界新月岛,136,584,0,585,586,0,2406,73,0
98,宇宙探索1,137,587,0,0,588,589,2343,74,0
99,怪物猎人：荒野1,138,622,621,623,624,625,3955,75,0
100,怪物猎人：荒野2,139,626,0,627,628,629,3956,76,0
101,友好部族任务：尤卡巨人族,140,0,0,0,0,630,2319,77,77
102,深层迷宫：朝圣交错路1,141,0,0,631,0,0,2400,0,0
103,深层迷宫：朝圣交错路2,142,0,0,632,0,0,2401,0,0
104,宇宙探索2,143,633,0,0,634,635,2344,78,0
105,开拓无人岛3,144,0,0,636,637,638,2342,79,79
106,随身神典石1,52,158,0,152,154,156,4000,0,0
107,随身神典石2,53,159,0,153,155,157,4001,0,0
108,宇宙探索3,145,669,0,0,670,0,2345,80,0
