#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,多玛方城战解说,多玛方城战解说,,68737,2,0,True
3604483,烈羽争锋,烈羽争锋解说,,0,3,0,True
3604484,关于房屋,房屋解说,,0,4,0,True
3604485,昔日重现模式,昔日重现模式解说,,0,2,0,True
3604486,纷争前线,纷争前线解说,,0,7,0,True
3604487,出海垂钓,出海垂钓解说,,0,8,0,True
3604488,幻巧拼图,幻巧拼图解说,,0,9,0,True
3604489,南方博兹雅战线,南方博兹雅战线解说,,0,10,0,True
3604490,义军等级,义军等级解说,,0,11,0,True
3604491,失传技能,失传技能解说,,0,13,0,True
3604492,博兹雅晶簇,博兹雅晶簇解说,,0,12,0,True
3604493,九宫幻卡锦标赛解说,九宫幻卡锦标赛解说,,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,义军勋章,义军勋章解说,,0,17,0,True
3604497,扎杜诺尔高原战线,扎杜诺尔高原战线解说,,0,18,0,True
3604498,玩家对战,玩家对战解说,,0,19,0,True
3604499,水晶冲突,水晶冲突解说,,0,20,0,True
3604500,深层迷宫,深层迷宫解说,,0,25,2,True
3604501,深层迷宫,深层迷宫解说,,0,26,2,True
3604502,深层迷宫,深层迷宫解说,,0,27,2,True
3604503,听取解说,金碟巨豆中心解说,,0,31,0,True
3604504,初学者学堂,战斗解说,,0,33,0,True
3604505,深层迷宫,深层迷宫解说,,0,37,2,True
3604506,,,,0,36,0,True
3604507,询问有关蜃景幻界新月岛南征之章,蜃景幻界新月岛,,0,35,0,True
3604508,询问有关嫩枝大清扫的事情,嫩枝大清扫解说,,0,39,0,True
