#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,千鱼祝福,达成条件：获得的渔分大于等于2500。,65901,110,4
2,万鱼贺喜,达成条件：获得的渔分大于等于5000。,65902,120,5
3,珍鱼,达成条件：钓到一条★★★★鱼。,65903,110,6
4,传说鱼,达成条件：钓到一条★★★★★鱼。,65904,120,7
5,瞬钓,达成条件：在幻海流中钓到15条鱼。,65905,110,8
6,爆钓王,达成条件：在幻海流中钓到35条鱼。,65906,120,9
7,丰渔：加拉迪翁湾,达成条件：小队全体在加拉迪翁湾合计钓到10种或更多的鱼类。,65907,110,10
8,丰渔：梅尔托尔海峡南,达成条件：小队全体在梅尔托尔海峡南合计钓到10种或更多的鱼类。,65908,110,13
9,丰渔：梅尔托尔海峡北,达成条件：小队全体在梅尔托尔海峡北合计钓到10种或更多的鱼类。,65909,110,19
10,丰渔：罗塔诺海,达成条件：小队全体在罗塔诺海合计钓到10种或更多的鱼类。,65910,110,22
11,传说中的大渔旗,达成条件：小队全体合计钓到3条或更多★★★★★的鱼。,65911,150,31
12,利姆莱茵的宠爱之子,达成条件：由自己引发幻海流。,65912,110,32
13,八爪旅人,达成条件：小队全体合计钓到150只或更多的章鱼类。,65913,120,33
14,捕鲨人,达成条件：小队全体合计钓到200条或更多的鲨鱼类。,65914,130,34
15,水母狂魔,达成条件：小队全体合计钓到150只或更多的水母类。,65915,120,35
16,龙马惊神,达成条件：小队全体合计钓到100只或更多的海龙或海马。,65916,110,36
17,初级海钓师,达成条件：完成1种船上任务。,65923,105,1
18,中级海钓师,达成条件：完成2种船上任务。,65924,110,2
19,上级海钓师,达成条件：完成3种船上任务。,65925,120,3
20,气鲀四海,达成条件：小队全体合计钓到250只或更多的鲀类。,65917,130,37
21,横路不通,达成条件：小队全体合计钓到250只或更多的蟹类。,65918,130,38
22,只有我最鳐摆,达成条件：个人合计钓到25只或更多的鳐鱼。,65919,120,39
23,丰渔：加拉迪翁湾,达成条件：小队全体在加拉迪翁湾合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65907,110,11
24,丰渔：加拉迪翁湾,达成条件：小队全体在加拉迪翁湾合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65907,110,12
25,丰渔：梅尔托尔海峡南,达成条件：小队全体在梅尔托尔海峡南合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65908,110,14
26,丰渔：梅尔托尔海峡南,达成条件：小队全体在梅尔托尔海峡南合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65908,110,15
27,丰渔：梅尔托尔海峡北,达成条件：小队全体在梅尔托尔海峡北合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65909,110,20
28,丰渔：梅尔托尔海峡北,达成条件：小队全体在梅尔托尔海峡北合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65909,110,21
29,丰渔：罗塔诺海,达成条件：小队全体在罗塔诺海合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65910,110,23
30,丰渔：罗塔诺海,达成条件：小队全体在罗塔诺海合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65910,110,24
31,丰渔：谢尔达莱群岛,达成条件：小队全体在谢尔达莱群岛合计钓到10种或更多的鱼类。,65920,110,16
32,丰渔：谢尔达莱群岛,达成条件：小队全体在谢尔达莱群岛合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65920,110,17
33,丰渔：谢尔达莱群岛,达成条件：小队全体在谢尔达莱群岛合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65920,110,18
34,丰渔：绯汐海,达成条件：小队全体在绯汐海合计钓到10种或更多的鱼类。,65921,110,25
35,丰渔：绯汐海,达成条件：小队全体在绯汐海合计钓到9种或更多的鱼类。（已根据小队人数进行调整）,65921,110,26
36,丰渔：绯汐海,达成条件：小队全体在绯汐海合计钓到8种或更多的鱼类。（已根据小队人数进行调整）,65921,110,27
37,丰渔：罗斯利特湾,达成条件：小队全体在罗斯利特湾合计钓到10种或更多的鱼类。,65922,110,28
