#,Name,Icon,SortKey
0,未设置,61762,0
1,迷宫挑战,61801,20
2,讨伐歼灭战,61804,21
3,大型任务,61802,22
4,绝境战,61832,23
5,深层迷宫,61824,30
6,特殊场景探索,61837,31
7,玩家对战,61806,40
8,青魔法师,61836,51
9,寻宝,61808,52
10,怪物狩猎,61819,53
11,制作,61816,100
12,采矿/园艺,61755,101
13,钓鱼,61756,102
14,主线任务,61757,10
15,金碟游乐场,61820,54
16,随机任务,61807,50
17,练级,61752,150
18,角色扮演,61751,151
19,硬核玩家,61754,153
20,休闲玩家,61753,152
21,新人,61823,154
22,指导者,61760,155
23,赚钱,61758,200
24,集体动作,61764,205
25,武具投影,61759,204
26,乐器演奏,61763,203
27,聊天,61765,206
28,房屋,61761,202
29,玩家自办活动,61766,207
30,成就收集,61767,201
31,特殊迷宫探索,61846,32
32,多玛方城战,61768,55
33,开拓无人岛,61847,56
