#,Text,GridText,Unknown0,Unknown5,Unknown1,Image,Unknown2,Unknown3,Unknown4,Unknown6
0,无,,0,0,0,0,0,0,0,10
1,★ 相片,,0,0,3,0,12,0,2,10
2,★ 拍立得,,0,0,3,0,22,0,4,10
3,★ 电影,,0,0,3,0,32,0,6,10
4,★ 浮世绘,,0,0,3,0,18,0,100,10
5,★ 上下装饰1,,0,0,3,0,30,0,101,10
6,★ 上下装饰2,,0,0,3,0,31,0,102,10
7,★ 壁式画框,,0,0,3,0,29,0,103,10
8,★ 不规则,,0,0,3,0,13,0,104,10
9,,,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,0,0,0,0,0,0,0,0
14,,,0,0,0,0,0,0,0,0
15,,,0,0,0,0,0,0,0,0
16,,,0,0,0,0,0,0,0,0
17,◆ 简洁1,,0,0,1,230001,0,0,10,10
18,◆ 日记,,255,0,1,230002,0,0,50,10
19,◆ 永结同心,,255,0,1,230003,0,0,51,10
20,◆ 怪物狩猎1,,255,0,1,230004,0,0,52,10
21,◆ 相片,GroupPoseFrame9grid001,255,0,2,0,0,0,1,10
22,◆ 拍立得,GroupPoseFrame9grid002,255,0,2,0,0,0,3,10
23,◆ 电影,GroupPoseFrame9grid003,255,0,2,0,0,0,5,10
24,◆ 怪物狩猎2,,255,0,1,230005,0,0,53,10
25,◆ 九宫幻卡1,,2069202175,0,1,230006,0,0,54,10
26,◆ 九宫幻卡2,,2069202175,0,1,230007,0,0,55,10
27,◆ 简洁2,,255,0,1,230008,0,0,11,10
28,◆ 碧海内墙,,255,0,1,230011,0,0,56,10
29,◆ 密林内墙,,255,0,1,230009,0,0,57,10
30,◆ 黄沙内墙,,255,0,1,230010,0,0,58,10
31,,,0,0,0,0,0,0,0,0
32,,,0,0,0,0,0,0,0,0
33,,,0,0,0,0,0,0,0,0
34,,,0,0,0,0,0,0,0,0
35,,,0,0,0,0,0,0,0,0
36,,,0,0,0,0,0,0,0,0
37,,,0,0,0,0,0,0,0,0
38,◆ 简洁3,,255,0,1,230012,0,0,12,10
39,◆ 嘉年华特制边框1,,255,0,1,231025,0,120,0,10
40,◆ 嘉年华特制边框2,,255,0,1,231026,0,120,0,10
41,◆ 嘉年华特制边框3,,255,0,1,231027,0,120,0,10
42,◆ 嘉年华特制边框4,,255,0,1,231028,0,120,0,10
43,◆ 嘉年华特制边框5,,255,0,1,231029,0,120,0,10
44,◆ 嘉年华特制边框6,,255,0,1,231030,0,120,0,10
45,◆ 嘉年华特制边框7,,255,0,1,231031,0,120,0,10
46,,,0,0,0,0,0,0,0,0
47,,,0,0,0,0,0,0,0,0
48,,,0,0,0,0,0,0,0,0
49,,,0,0,0,0,0,0,0,0
50,,,0,0,0,0,0,0,0,0
51,,,0,0,0,0,0,0,0,0
52,,,0,0,0,0,0,0,0,0
53,◆ 五线谱,,255,0,1,230013,0,0,63,10
54,◆ 无人岛1,,2058672639,0,1,230014,0,0,59,10
55,◆ 无人岛2,,2058672639,0,1,230015,0,0,60,10
56,,,0,0,0,0,0,0,0,0
57,,,0,0,0,0,0,0,0,0
58,,,0,0,0,0,0,0,0,0
59,,,0,0,0,0,0,0,0,0
60,,,0,0,0,0,0,0,0,0
61,,,0,0,0,0,0,0,0,0
62,,,0,0,0,0,0,0,0,0
63,,,0,0,0,0,0,0,0,0
64,,,0,0,0,0,0,0,0,0
65,,,0,0,0,0,0,0,0,0
66,◆ 版本标志,,255,0,1,127961,0,0,255,10
67,◆ 白色花边,,255,0,1,230016,0,0,15,10
68,◆ 黑色花边,,255,0,1,230017,0,0,16,10
69,◆ 金属1,,255,0,1,230018,0,0,13,10
70,◆ 金属2,,255,0,1,230019,0,0,14,10
71,◆ 角花1,,255,0,1,230020,0,0,17,10
72,◆ 角花2,,255,0,1,230021,0,0,18,10
73,◆ 霓虹1,,255,0,1,230022,0,0,22,10
74,◆ 霓虹2,,255,0,1,230023,0,0,23,10
75,◆ 生日,,255,0,1,230024,0,0,21,10
76,◆ 以太,,255,0,1,230025,0,0,64,10
77,◆ 显示屏,,255,0,1,230026,0,0,20,10
78,◆ 探索触控板,,255,0,1,230027,0,0,61,10
79,◆ 宇宙好运道,,255,0,1,230028,0,0,62,10
