#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
1,,,0,0,0,0,0,False
2,,,0,0,0,0,0,False
3,,,0,0,0,0,0,False
4,,,0,0,0,0,0,False
5,,,0,0,0,0,0,False
6,,,0,0,0,0,0,False
7,,,0,0,0,0,0,False
8,,,0,0,0,0,0,False
9,,,0,0,0,0,0,False
10,,,0,0,0,0,0,False
11,控制移动,MOVE_AND_STEER,1,255,255,1,0,False
12,前进 / 向前移动,MOVE_FORE,2,255,255,1,3,False
13,后退 / 向后移动,MOVE_BACK,3,255,255,1,3,False
14,左转 / 向左移动,MOVE_LEFT,4,255,255,1,3,False
15,右转 / 向右移动,MOVE_RIGHT,5,255,255,1,3,False
16,向左平移,MOVE_STRIFE_L,6,255,255,1,3,False
17,向右平移,MOVE_STRIFE_R,7,255,255,1,3,False
18,跳跃,JUMP,8,255,255,1,3,False
19,切换奔跑与行走,WALK,9,255,255,1,3,False
20,开启/关闭自动前进,AUTORUN_KEY,10,255,255,1,3,False
21,拔出/收回武器,SWARD,11,255,255,1,3,False
22,锁定所选目标,CAMERA_FOCUS,12,255,255,1,6,False
23,飞行/潜水：下降,MOVE_DESCENT,13,255,255,1,3,False
24,飞行/潜水：维持高度,MOVE_RETENTION,14,255,255,1,3,False
25,飞行/潜水：盘旋上升,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,飞行/潜水：盘旋下降,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
27,,,0,0,0,0,0,False
28,,,0,0,0,0,0,False
29,,,0,0,0,0,0,False
30,,,0,0,0,0,0,False
31,,,0,0,0,0,0,False
32,,,0,0,0,0,0,False
33,,,0,0,0,0,0,False
34,,,0,0,0,0,0,False
35,,,0,0,0,0,0,False
36,,,0,0,0,0,0,False
37,,,0,0,0,0,0,False
38,,,0,0,0,0,0,False
39,,,0,0,0,0,0,False
40,,,0,0,0,0,0,False
41,,,0,0,0,0,0,False
42,,,0,0,0,0,0,False
43,,,0,0,0,0,0,False
44,,,0,0,0,0,0,False
45,,,0,0,0,0,0,False
46,,,0,0,0,0,0,False
47,,,0,0,0,0,0,False
48,,,0,0,0,0,0,False
49,,,0,0,0,0,0,False
50,,,0,0,0,0,0,False
51,向上移动视角,CAMERA_UP,17,255,255,1,6,False
52,向下移动视角,CAMERA_DOWN,18,255,255,1,6,False
53,向左移动视角,CAMERA_LEFT,19,255,255,1,6,False
