#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,防护职业装备,1,75
2,近战职业装备（龙骑士·钐镰客）,2,76
3,近战职业装备（武僧·武士）,3,77
4,远程物理职业装备,4,78
5,近战职业装备（忍者·蝰蛇剑士）,5,104
6,治疗职业装备,6,80
7,魔法进攻职业装备,7,79
8,战斗相关道具,8,0
9,能工巧匠装备,9,33
10,制作相关道具,10,0
11,大地使者装备,11,32
12,采集相关道具,12,0
13,防护职业装备,13,75
14,近战职业装备（龙骑士·钐镰客）,14,76
15,近战职业装备（武僧·武士）,15,77
16,远程物理职业装备,16,78
17,近战职业装备（忍者·蝰蛇剑士）,17,104
18,治疗职业装备,18,80
19,魔法进攻职业装备,19,79
20,战斗相关道具,20,0
21,能工巧匠装备,21,33
22,制作相关道具,22,0
23,大地使者装备,23,32
24,采集相关道具,24,0
25,防护职业装备,25,75
26,近战职业装备（龙骑士·钐镰客）,26,76
27,近战职业装备（武僧·武士）,27,77
28,远程物理职业装备,28,78
29,近战职业装备（忍者·蝰蛇剑士）,29,104
30,治疗职业装备,30,80
31,魔法进攻职业装备,31,79
32,战斗相关道具,32,0
33,能工巧匠装备,33,33
34,制作相关道具,34,0
35,大地使者装备,35,32
36,采集相关道具,36,0
37,防护职业装备,37,75
38,近战职业装备（龙骑士·钐镰客）,38,76
39,近战职业装备（武僧·武士）,39,77
40,远程物理职业装备,40,78
41,近战职业装备（忍者·蝰蛇剑士）,41,104
42,治疗职业装备,42,80
43,魔法进攻职业装备,43,79
44,战斗相关道具,44,0
45,能工巧匠装备,45,33
46,制作相关道具,46,0
47,大地使者装备,47,32
48,采集相关道具,48,0
49,巧手工票交易：装备,49,0
50,巧手工票交易：秘籍·素材·杂货,50,33
51,大地工票交易：装备,51,0
52,大地工票交易：传承录·素材·杂货,52,32
53,巧手工票交易：魔晶石,53,33
54,大地工票交易：魔晶石,54,32
55,巧手工票交易：装备,55,0
56,巧手工票交易：秘籍·素材·杂货,56,0
57,大地工票交易：装备,57,0
58,大地工票交易：传承录·素材·杂货,58,0
59,巧手工票交易：装备,59,0
60,巧手工票交易：秘籍·素材·杂货,60,0
61,大地工票交易：装备,61,0
62,大地工票交易：传承录·素材·杂货,62,0
63,狼印战绩（战斗精英武器）,63,0
64,狼印战绩（魔法导师武器）,64,0
65,狼印战绩（战斗精英防具）,65,0
66,狼印战绩（魔法导师防具）,66,0
67,狼印战绩（其他）,67,1
68,,0,0
69,,0,0
70,巧手工票交易：装备,70,0
71,巧手工票交易：秘籍·素材·杂货,71,0
72,大地工票交易：装备,72,0
73,大地工票交易：传承录·素材·杂货,73,0
74,防护职业装备,74,75
75,近战职业装备（龙骑士·钐镰客）,75,76
76,近战职业装备（武僧·武士）,76,77
77,近战职业装备（忍者·蝰蛇剑士）,77,104
78,远程物理职业装备,78,78
79,治疗职业装备,80,80
80,魔法进攻职业装备,79,79
81,战斗相关道具,81,0
82,能工巧匠装备,82,33
83,制作相关道具,83,0
84,大地使者装备,84,32
85,采集相关道具,85,0
86,,0,0
