#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
0,,,,0,0,0
1,,,,0,0,0
2,,,,0,0,0
3,,,,0,0,0
4,,,,0,0,0
5,,,,0,0,0
6,,,,0,0,0
7,,,,0,0,0
8,,,,0,0,0
9,,,,0,0,0
10,"……怎么了？
想买勒昂琅的话，1枚孚布特金币可不够哦？",,,10,61,1
11,水晶公说了什么来着……,,,11,61,1
12,"好黑啊……
要不要从上面借点蜡烛过来？",,,12,61,1
13,"…………
干嘛一直盯着我看啊？
这边的调查还需要点时间。",,,13,61,1
14,"好痛……
为、为什么要瞄准我啊……",,,14,61,1
15,"即使被击中也纹丝不动，一直盯着这边看。
看来至少不是矮人族……",,,0,57,7
16,"哦哦，射对啦！
为你的判断力和行动力鼓掌啦哩！",,,15,61,1
17,"射错啦！
我戴的可是真真正正的图尔头盔！
错啦错啦！嗯……错啦！",,,16,61,1
18,"嘎哈哈哈！哼哼！哼哼哼！
不可以对我进行射击哦，看来你还差得远呢！",,,17,61,1
19,发现了疑似目标人物！,,,0,57,7
20,"……稳重的气场。
不过并不是猫秘族。",,,0,57,7
21,"看起来很旧的壁画。
身处中央的人物举着武器。
黑色野兽被打倒，周围的人们看起来都很开心……",,,0,57,7
22,"看起来非常旧的壁画。
坐在王座上的人物正在接受很多人的谒见……",,,0,57,7
23,"看起来相当旧的壁画。
里面画有数名与涌动的黑暗对峙的人物，
不过中央部分被刮掉许多……",,,0,57,7
24,"那个是垂涎欲滴烙饼！
里面加入了又酸又甜的仙人掌的果实，
所以干一点也没关系！有助于健康！",,,10,61,1
25,"那个是干劲熊熊火腿！
是将蜥蜴的贵重部位利用秘传香料制成的火腿！
虽然有点奇怪的味道，但是吃了它能让身体变得结实！",,,10,61,1
26,"那个是黏黏小串！
是将隐藏在附近石场中的小型青蛙简单烤制得到的！
很爽口，不粘牙！",,,10,61,1
27,"那个是软软腌白蚯蚓！
是将大家都很喜欢的白蚯蚓蘸到蜜汁里的梦幻美食！
吃完这个就吃不下其他甜食了！",,,10,61,1
28,发现了古旧的石板！,,,0,57,7
29,"嗯……这个应该是祭坛，
不过却没看到夜之民的代表性祭具水镜啊。
是他们离开的时候只把那个带走了吧……",,,18,61,1
30,"发现了疑似目标人物！
但是往村落那边逃走了……",,,0,57,7
31,"一直在盯着这边看。
似乎不是神秘的人影……",,,0,57,7
32,"啦哩吼！干得漂亮！
保持这个状态，正式挑战的时候也要加油啊！",,,15,61,1
33,"高耸着的细长建筑，上面有很多窗户。
是不曾在其他地方见到过的独特设计。",,,0,57,7
34,"……为什么会有鲸头鹳？
完全不知道为什么，但就是堂而皇之地出现在那里。",,,0,57,7
35,"冰海天使的幼体脸上一副柔弱的表情……
肯定是个特别老实的生物。",,,0,57,7
36,"咦？！不要趁乱瞄准我啊！
兜帽我是不会摘下来的！",,,14,61,1
37,"即使被击中也纹丝不动，
一直、一直盯着这边看。
看来并不是矮人族……",,,0,57,7
38,,,,0,0,0
39,"哎呀？！
你干嘛！
请不要打扰我工作！",,,22,61,1
40,"嗯……从这里看得不是很清楚，
水箱上面连着金色的管子吧？","然后透过稍微靠下的窗户看过去……
水箱的下部似乎也连接着巨大的管子。","也就是说，这是用来对采集的水
进行过滤除杂的净水装置吧。",20,61,1
41,"有一个巨大的筒矗立在墙的旁面……
从声音来判断，墙的另一面是水源吧？","然后筒的顶端突出的那个轴，
则通过传导装置与旋转的车轮状动力装置相连……","也就是说，这就是汲水装置！
筒里应该有能够旋转的螺旋桨。",20,61,1
