#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
0,完成1次探索任务,1,0,50,0,1
1,完成3种探索任务,3,0,75,1,1
2,获得1次探索任务的金星奖励,1,0,75,2,1
3,完成1次紧急探索任务,1,0,50,3,1
4,完成1次机甲行动,1,0,100,4,1
5,挑战1次宇宙好运道,1,0,50,5,1
6,完成10次月球探索任务,10,1,300,6,2
7,完成50次月球探索任务,50,1,450,7,2
8,完成100次月球探索任务,100,1,900,8,2
9,完成500次月球探索任务,500,1,1500,9,2
10,完成10种月球探索任务,10,1,300,10,2
11,完成50种月球探索任务,50,1,900,11,2
12,完成100种月球探索任务,100,1,2400,12,2
13,获得10种月球探索任务的金星奖励,10,1,300,13,2
14,获得50种月球探索任务的金星奖励,50,1,900,14,2
15,获得100种月球探索任务的金星奖励,100,1,2400,15,2
16,完成1次月球的紧急探索任务,1,2,500,16,2
17,完成10次月球的紧急探索任务,10,2,1000,17,2
18,完成30次月球的紧急探索任务,30,2,3000,18,2
19,以驾驶员身份参加并完成1次月球的机甲行动,1,1,1500,22,2
20,以驾驶员身份参加并完成5次月球的机甲行动,5,1,3000,23,2
21,以驾驶员身份参加并完成10次月球的机甲行动,10,1,4500,24,2
22,以协助员身份参加并完成5次月球的机甲行动,5,1,300,25,2
23,以协助员身份参加并完成20次月球的机甲行动,20,1,900,26,2
24,以协助员身份参加并完成50次月球的机甲行动,50,1,2100,27,2
25,完成刻木匠的3种月球D类探索任务,3,3,50,28,2
26,完成刻木匠的4种月球C类探索任务,4,3,100,29,2
27,获得刻木匠的3种月球B类探索任务的金星奖励,3,3,200,30,2
28,完成锻铁匠的3种月球D类探索任务,3,7,50,31,2
29,完成锻铁匠的4种月球C类探索任务,4,7,100,32,2
30,获得锻铁匠的3种月球B类探索任务的金星奖励,3,7,200,33,2
31,完成铸甲匠的3种月球D类探索任务,3,11,50,34,2
32,完成铸甲匠的4种月球C类探索任务,4,11,100,35,2
33,获得铸甲匠的3种月球B类探索任务的金星奖励,3,11,200,36,2
34,完成雕金匠的3种月球D类探索任务,3,15,50,37,2
35,完成雕金匠的4种月球C类探索任务,4,15,100,38,2
36,获得雕金匠的3种月球B类探索任务的金星奖励,3,15,200,39,2
37,完成制革匠的3种月球D类探索任务,3,19,50,40,2
38,完成制革匠的4种月球C类探索任务,4,19,100,41,2
39,获得制革匠的3种月球B类探索任务的金星奖励,3,19,200,42,2
40,完成裁衣匠的3种月球D类探索任务,3,23,50,43,2
41,完成裁衣匠的4种月球C类探索任务,4,23,100,44,2
42,获得裁衣匠的3种月球B类探索任务的金星奖励,3,23,200,45,2
43,完成炼金术士的3种月球D类探索任务,3,27,50,46,2
44,完成炼金术士的4种月球C类探索任务,4,27,100,47,2
45,获得炼金术士的3种月球B类探索任务的金星奖励,3,27,200,48,2
46,完成烹调师的3种月球D类探索任务,3,31,50,49,2
47,完成烹调师的4种月球C类探索任务,4,31,100,50,2
48,获得烹调师的3种月球B类探索任务的金星奖励,3,31,200,51,2
49,完成园艺工的3种月球D类探索任务,3,39,50,55,2
50,完成园艺工的4种月球C类探索任务,4,39,100,56,2
51,获得园艺工的3种月球B类探索任务的金星奖励,3,39,200,57,2
52,完成采矿工的3种月球D类探索任务,3,35,50,52,2
53,完成采矿工的4种月球C类探索任务,4,35,100,53,2
54,获得采矿工的3种月球B类探索任务的金星奖励,3,35,200,54,2
55,完成捕鱼人的3种月球D类探索任务,3,43,50,58,2
56,完成捕鱼人的4种月球C类探索任务,4,43,100,59,2
57,获得捕鱼人的3种月球B类探索任务的金星奖励,3,43,200,60,2
58,挑战5次月球的宇宙好运道,5,1,300,61,2
59,挑战30次月球的宇宙好运道,30,1,600,62,2
60,挑战100次月球的宇宙好运道,100,1,900,63,2
61,完成5种月球的紧急探索任务,5,2,1000,19,2
62,完成15种月球的紧急探索任务,15,2,2000,20,2
63,完成33种月球的紧急探索任务,33,2,3000,21,2
64,完成10次法恩娜行星探索任务,10,1,500,6,2
65,完成50次法恩娜行星探索任务,50,1,800,7,2
66,完成100次法恩娜行星探索任务,100,1,1600,8,2
67,完成500次法恩娜行星探索任务,500,1,2500,9,2
68,完成10种法恩娜行星探索任务,10,1,500,10,2
69,完成50种法恩娜行星探索任务,50,1,1500,11,2
70,完成100种法恩娜行星探索任务,100,1,4000,12,2
71,获得10种法恩娜行星探索任务的金星奖励,10,1,500,13,2
72,获得50种法恩娜行星探索任务的金星奖励,50,1,1500,14,2
73,获得100种法恩娜行星探索任务的金星奖励,100,1,4000,15,2
74,完成1次法恩娜行星的紧急探索任务,1,47,500,16,2
75,完成10次法恩娜行星的紧急探索任务,10,47,1000,17,2
76,完成30次法恩娜行星的紧急探索任务,30,47,3000,18,2
77,以驾驶员身份参加并完成1次法恩娜行星的机甲行动,1,1,1500,22,2
78,以驾驶员身份参加并完成5次法恩娜行星的机甲行动,5,1,3000,23,2
79,以驾驶员身份参加并完成10次法恩娜行星的机甲行动,10,1,4500,24,2
80,以协助员身份参加并完成5次法恩娜行星的机甲行动,5,1,300,25,2
81,以协助员身份参加并完成20次法恩娜行星的机甲行动,20,1,900,26,2
82,以协助员身份参加并完成50次法恩娜行星的机甲行动,50,1,2100,27,2
83,完成刻木匠的5种法恩娜行星探索任务,5,3,75,28,2
84,完成刻木匠的10种法恩娜行星探索任务,10,3,150,29,2
85,完成刻木匠的15种法恩娜行星探索任务,15,3,300,30,2
86,完成锻铁匠的5种法恩娜行星探索任务,5,7,75,31,2
87,完成锻铁匠的10种法恩娜行星探索任务,10,7,150,32,2
88,完成锻铁匠的15种法恩娜行星探索任务,15,7,300,33,2
89,完成铸甲匠的5种法恩娜行星探索任务,5,11,75,34,2
90,完成铸甲匠的10种法恩娜行星探索任务,10,11,150,35,2
91,完成铸甲匠的15种法恩娜行星探索任务,15,11,300,36,2
92,完成雕金匠的5种法恩娜行星探索任务,5,15,75,37,2
93,完成雕金匠的10种法恩娜行星探索任务,10,15,150,38,2
94,完成雕金匠的15种法恩娜行星探索任务,15,15,300,39,2
95,完成制革匠的5种法恩娜行星探索任务,5,19,75,40,2
96,完成制革匠的10种法恩娜行星探索任务,10,19,150,41,2
97,完成制革匠的15种法恩娜行星探索任务,15,19,300,42,2
98,完成裁衣匠的5种法恩娜行星探索任务,5,23,75,43,2
99,完成裁衣匠的10种法恩娜行星探索任务,10,23,150,44,2
100,完成裁衣匠的15种法恩娜行星探索任务,15,23,300,45,2
101,完成炼金术士的5种法恩娜行星探索任务,5,27,75,46,2
102,完成炼金术士的10种法恩娜行星探索任务,10,27,150,47,2
103,完成炼金术士的15种法恩娜行星探索任务,15,27,300,48,2
104,完成烹调师的5种法恩娜行星探索任务,5,31,75,49,2
105,完成烹调师的10种法恩娜行星探索任务,10,31,150,50,2
106,完成烹调师的15种法恩娜行星探索任务,15,31,300,51,2
107,完成园艺工的5种法恩娜行星探索任务,5,39,75,55,2
108,完成园艺工的10种法恩娜行星探索任务,10,39,150,56,2
109,完成园艺工的15种法恩娜行星探索任务,15,39,300,57,2
110,完成采矿工的5种法恩娜行星探索任务,5,35,75,52,2
111,完成采矿工的10种法恩娜行星探索任务,10,35,150,53,2
112,完成采矿工的15种法恩娜行星探索任务,15,35,300,54,2
113,完成捕鱼人的5种法恩娜行星探索任务,5,43,75,58,2
114,完成捕鱼人的10种法恩娜行星探索任务,10,43,150,59,2
115,完成捕鱼人的15种法恩娜行星探索任务,15,43,300,60,2
116,挑战5次法恩娜行星的宇宙好运道,5,1,500,61,2
117,挑战30次法恩娜行星的宇宙好运道,30,1,1000,62,2
118,挑战100次法恩娜行星的宇宙好运道,100,1,1500,63,2
119,完成5种法恩娜行星的紧急探索任务,5,47,1000,19,2
120,完成15种法恩娜行星的紧急探索任务,15,47,2000,20,2
121,完成33种法恩娜行星的紧急探索任务,33,47,3000,21,2
122,完成10次俄匊斯行星探索任务,10,1,500,6,2
123,完成50次俄匊斯行星探索任务,50,1,800,7,2
124,完成100次俄匊斯行星探索任务,100,1,1600,8,2
125,完成500次俄匊斯行星探索任务,500,1,2500,9,2
126,完成10种俄匊斯行星探索任务,10,1,500,10,2
127,完成50种俄匊斯行星探索任务,50,1,1500,11,2
128,完成100种俄匊斯行星探索任务,100,1,4000,12,2
129,获得10种俄匊斯行星探索任务的金星奖励,10,1,500,13,2
130,获得50种俄匊斯行星探索任务的金星奖励,50,1,1500,14,2
131,获得100种俄匊斯行星探索任务的金星奖励,100,1,4000,15,2
132,完成1次俄匊斯行星的紧急探索任务,1,48,500,16,2
133,完成10次俄匊斯行星的紧急探索任务,10,48,1000,17,2
134,完成30次俄匊斯行星的紧急探索任务,30,48,3000,18,2
135,以驾驶员身份参加并完成1次俄匊斯行星的机甲行动,1,1,1500,22,2
136,以驾驶员身份参加并完成5次俄匊斯行星的机甲行动,5,1,3000,23,2
137,以驾驶员身份参加并完成10次俄匊斯行星的机甲行动,10,1,4500,24,2
138,以协助员身份参加并完成5次俄匊斯行星的机甲行动,5,1,300,25,2
139,以协助员身份参加并完成20次俄匊斯行星的机甲行动,20,1,900,26,2
140,以协助员身份参加并完成50次俄匊斯行星的机甲行动,50,1,2100,27,2
141,完成刻木匠的5种俄匊斯行星探索任务,5,3,75,28,2
142,完成刻木匠的10种俄匊斯行星探索任务,10,3,150,29,2
143,完成刻木匠的15种俄匊斯行星探索任务,15,3,300,30,2
144,完成锻铁匠的5种俄匊斯行星探索任务,5,7,75,31,2
145,完成锻铁匠的10种俄匊斯行星探索任务,10,7,150,32,2
146,完成锻铁匠的15种俄匊斯行星探索任务,15,7,300,33,2
147,完成铸甲匠的5种俄匊斯行星探索任务,5,11,75,34,2
148,完成铸甲匠的10种俄匊斯行星探索任务,10,11,150,35,2
149,完成铸甲匠的15种俄匊斯行星探索任务,15,11,300,36,2
150,完成雕金匠的5种俄匊斯行星探索任务,5,15,75,37,2
151,完成雕金匠的10种俄匊斯行星探索任务,10,15,150,38,2
152,完成雕金匠的15种俄匊斯行星探索任务,15,15,300,39,2
153,完成制革匠的5种俄匊斯行星探索任务,5,19,75,40,2
