#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,开始游戏,,,0,0,0
2,功能设置,,,0,0,0
3,开场动画,,,0,0,0
4,制作人员,,,0,0,0
5,,,,0,0,0
6,"要进行手柄的按键设置吗？
※进入游戏后可以在系统设置中随时进行修改。",,,0,0,0
7,是,,,0,0,0
8,否,,,0,0,0
9,,,,0,0,0
10,游戏账号,,,0,0,0
11,请选择游戏账号。,,,0,0,0
12,游戏版本号 : UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**注意** : 现在处于低分辨率状态(480p/i 576p/i)。
本游戏推荐使用高分辨率(720p)进行游戏。",,,0,0,0
14,,,,0,0,0
15,确认,,,0,0,0
16,取消,,,0,0,0
17,"请在右侧的列表中选择想要编辑的项目。
???表示该项目仍未最后确定。",,,0,0,0
18,"请在右侧的列表中选择想要编辑的项目。
编辑之后点击最下面的确认按钮可以查看更改后的形象。",,,0,0,0
19,"请在右侧的列表中选择想要编辑的项目。
???表示该项目仍未最后确定。
确定外貌之后将结束形象编辑。",,,0,0,0
20,删除角色,,,0,0,0
21,"要删除UNKNOWN吗？
删除角色后，该角色持有的道具、金币、雇佣的雇员也将被删除。
如果该角色是部队长，且部队中没有符合继任部队长条件的成员，则该部队将被解散。
届时部队所拥有的房屋、部队储物柜中的道具等财产也将被删除，请多加注意。",,,0,0,0
22,是的，我已经知晓注意事项，决定删除该角色。,,,0,0,0
23,修改姓名,,,0,0,0
24,修改雇员姓名,,,0,0,0
25,要以UNKNOWN登录吗？,,,0,0,0
26,以该角色登录游戏需要修改姓名。请输入新的名字。,,,0,0,0
27,请在获取角色信息后修改姓名。,,,0,0,0
28,要将姓名改为“UNKNOWN”吗？,,,0,0,0
29,要将雇员的姓名改为“UNKNOWN”吗？,,,0,0,0
30,创建新角色,,,0,0,0
31,"要结束角色创建吗？
当前正在处理的角色信息都会消失。",,,0,0,0
32,以当前角色开始游戏吗？,,,0,0,0
33,要创建新角色吗？,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,所在地,,,0,0,0
37,星1月 UNKNOWN日,,,0,0,0
38,（UNKNOWN月UNKNOWN日）,,,0,0,0
39,,,,0,0,0
40,星1月,,,0,0,0
41,灵1月,,,0,0,0
