#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,偏属性以太,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,以太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,大地之契约,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,捡到的钱,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,魅惑拥抱,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,哈修马利姆的魔力,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,巴哈姆特的以太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,虚无,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,芙朵拉的以太,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,马提乌斯的以太,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,以太加速度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,玄武的灵气,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,心缘之力,,60,90,0,0,2,3,1,1,1,False
16,坠地,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,怨念,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,齐天大圣的妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,究极神兵的以太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,鬼龙雅兹玛特的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,魔人贝利亚斯的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,神器的妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,朱红旋律,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,尘世幻龙的以太,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,陨石坠落,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,黑水晶的魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,雷力集中度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,圣剑技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,青龙的神通力,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,魔法障壁耐久度,,30,50,0,0,2,3,1,1,1,False
31,以太填充率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,全剑技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,缇坦妮雅的魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,无瑕灵君的威严,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
35,古代人的祈祷,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
