#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
1,碧空,,,,,,60201
2,晴朗,,,,,,60202
3,阴云,,,,,,60203
4,薄雾,,,,,,60204
5,微风,,,,,,60205
6,强风,,,,,,60206
7,小雨,,,,,,60207
8,暴雨,,,,,,60208
9,打雷,,,,,,60209
10,雷雨,,,,,,60210
11,扬沙,,,,,,60211
12,沙尘暴,,,,,,60212
13,高温,,,,,,60213
14,热浪,,,,,,60214
15,小雪,,,,,,60215
16,暴雪,,,,,,60216
17,妖雾,,,,,,60218
18,极光,,,,,,60217
19,黑暗,,,,,,60251
20,绝命,,,,,,60255
21,阴云,,,,,,60203
22,雷云,,,,,,60259
23,暴风雨,,,,,,60258
24,暴风雨,,,,,,60258
25,阴沉,,,,,,60257
26,热浪,,,,,,60252
27,妖雾,,,,,,60256
28,暴风,,,,,,60253
29,烟雾,,,,,,60254
30,晴朗,,,,,,60202
31,晴朗,,,,,,60202
32,晴朗,,,,,,60202
33,晴朗,,,,,,60202
34,晴朗,,,,,,60202
35,极光,,,,,,60260
36,辉核,,,,,,60261
37,辉核,,,,,,60261
38,辉核,,,,,,60261
39,辉核,,,,,,60261
40,滩云,,,,,,60262
41,滩云,,,,,,60262
42,滩云,,,,,,60262
43,滩云,,,,,,60262
44,神意,,,,,,60264
45,神意,,,,,,60264
46,神意,,,,,,60264
47,神意,,,,,,60264
48,神意,,,,,,60264
49,灵风,,,,,,60219
50,灵电,,,,,,60220
51,烟武,,,,,,60263
52,晴朗,,,,,,60202
53,兽雷,,,,,,60226
54,雷波,,,,,,60227
55,兽雷,,,,,,60226
56,神意,,,,,,60264
57,打雷,,,,,,60209
58,打雷,,,,,,60209
59,,,,,,,0
60,神秘,,,,,,60265
61,神秘,,,,,,60265
62,小雨,,,,,,60207
63,晴朗,,,,,,60202
64,小雨,,,,,,60207
65,晴朗,,,,,,60202
66,邪天,,,,,,60266
67,邪天,,,,,,60266
68,晴朗,,,,,,60202
69,平衡,,,,,,60267
70,平衡,,,,,,60267
71,时光,,,,,,60268
72,时光,,,,,,60268
73,时光,,,,,,60268
74,鬼气,,,,,,60269
75,鬼气,,,,,,60269
76,鬼气,,,,,,60269
77,次元,,,,,,60274
78,次元,,,,,,60274
79,次元,,,,,,60274
80,豪雨,,,,,,60271
81,豪雨,,,,,,60271
82,极乐,,,,,,60270
83,极乐,,,,,,60270
84,龙威,,,,,,60272
85,龙威,,,,,,60272
86,豪雨,,,,,,60271
87,迅雷,,,,,,60273
88,打雷,,,,,,60209
89,次元,,,,,,60274
90,晴朗,,,,,,60202
91,碧空,,,,,,60201
92,白旋风,,,,,,60275
93,白旋风,,,,,,60275
94,白旋风,,,,,,60275
95,幻想,,,,,,60277
96,白旋风,,,,,,60275
97,月夜,,,,,,60276
98,月夜,,,,,,60276
99,月夜,,,,,,60276
100,月夜,,,,,,60276
101,红月下,,,,,,60293
102,朱炎,,,,,,60278
103,朱炎,,,,,,60278
